#id,name,request_email,notes,home_page,tag_string
mairie-56083-01,Mairie - Hennebont,contact@mairie-hennebont.fr,"Adresse : 13 place Maréchal-Foch - CS 80130,56704,Hennebont Cedex | Tél : 02 97 85 16 16 | Fax : 02 97 36 54 78",http://www.ville-hennebont.fr,mairie
mairie-56084-01,Mairie - Le Hézo,accueil@lehezo.fr,"Adresse : 15 rue Saint-Vincent,56450,Le Hézo | Tél : 02 97 26 44 87 | Fax : 02 97 26 40 24",http://www.lehezo.com,mairie
mairie-56085-01,Mairie - Hdic,mairie-dhoedic@wanadoo.fr,"Adresse : Le Bourg,56170,Hdic | Tél : 02 97 52 48 88 | Fax : 02 97 52 33 27",http://www.hoedic.net,mairie
mairie-56086-01,Mairie - Île-d'Houat,mairie-houat@wanadoo.fr,"Adresse : Le Bourg,56170,Île-d'Houat | Tél : 02 97 30 68 04 | Fax : 02 97 30 66 28",http://www.mairiedehouat.fr,mairie
mairie-56087-01,Mairie - Île-aux-Moines,mairie@mairie-ileauxmoines.fr,"Adresse : Rue de la Mairie - BP 2,56780,Île-aux-Moines | Tél : 02 97 26 32 61 | Fax : 02 97 26 38 27",http://www.mairie-ileauxmoines.fr,mairie
mairie-56088-01,Mairie - Île-d'Arz,secretariat@mairie-iledarz.fr,"Adresse : Le Prieuré,56840,Île-d'Arz | Tél : 02 97 44 31 14 | Fax : ",http://www.iledarz.fr,mairie
mairie-56089-01,Mairie - Inguiniel,mairie.inguiniel@wanadoo.fr,"Adresse : 1 rue Louis-le-Moënic - BP 2,56240,Inguiniel | Tél : 02 97 32 08 12 | Fax : 02 97 32 17 08",http://www.inguiniel.fr,mairie
mairie-56090-01,Mairie - Inzinzac-Lochrist,mairie.inzinzac@wanadoo.fr,"Adresse : Place Charles-de-Gaulle,56650,Inzinzac-Lochrist | Tél : 02 97 85 30 30 | Fax : 02 97 85 30 40",http://www.inzinzac-lochrist.fr,mairie
mairie-56091-01,Mairie - Josselin,mairie@josselin.com,"Adresse : Place Alain-de-Rohan - BP 36,56120,Josselin | Tél : 02 97 22 24 17 | Fax : 02 97 75 69 12",http://www.josselin.com,mairie
mairie-56092-01,Mairie - Kerfourn,mairie.kerfourn@orange.fr,"Adresse : 16 rue de l'Argoat,56920,Kerfourn | Tél : 02 97 38 36 03 | Fax : ",,mairie
mairie-56093-01,Mairie - Kergrist,mairie@kergrist.fr,"Adresse : 16 rue de la Paix,56300,Kergrist | Tél : 02 97 39 62 28 | Fax : 02 97 39 60 22",http://www.kergrist.fr,mairie
mairie-56094-01,Mairie - Kervignac,mairie@kervignac.com,"Adresse : Esplanade de la Mairie,56700,Kervignac | Tél : 02 97 65 77 06 | Fax : 02 97 65 62 32",http://www.kervignac.com,mairie
mairie-56096-01,Mairie - Landaul,cyber-landaul@wanadoo.fr,"Adresse : 1 place de la Mairie,56690,Landaul | Tél : 02 97 24 60 05 | Fax : 02 97 24 57 41",http://www.landaul.fr,mairie
mairie-56097-01,Mairie - Landévant,commune.landevant@wanadoo.fr,"Adresse : 15 rue Nationale,56690,Landévant | Tél : 02 97 56 93 00 | Fax : 02 97 56 99 04",http://www.landevant.fr,mairie
mairie-56098-01,Mairie - Lanester,PRADA@ville-lanester.fr,"Adresse : 1 rue Louis-Aragon - BP 779,56607,Lanester Cedex | Tél : 02 97 76 81 81 | Fax : 02 97 76 81 65",http://www.lanester.com,mairie
mairie-56099-01,Mairie - Langoëlan,langoelan.mairie@wanadoo.fr,"Adresse : 44 rue Duchelas,56160,Langoëlan | Tél : 02 97 51 25 54 | Fax : 02 97 39 34 69",http://www.langoelan.fr,mairie
mairie-56100-01,Mairie - Langonnet,mairie.langonnet@wanadoo.fr,"Adresse : 1 place Morvan,56630,Langonnet | Tél : 02 97 23 96 34 | Fax : 02 97 23 82 61",http://www.langonnet.fr,mairie
mairie-56101-01,Mairie - Languidic,mairie@languidic.fr,"Adresse : 2 rue de la Mairie,56440,Languidic | Tél : 02 97 65 19 19 | Fax : 02 97 65 10 11",http://www.languidic.fr,mairie
mairie-56102-01,Mairie - Lanouée,mairie.lanouee@wanadoo.fr,"Adresse : 2 place de la Mairie,56120,Lanouée | Tél : 02 97 75 34 83 | Fax : 02 97 75 36 43",http://www.lanouee.fr,mairie
mairie-56103-01,Mairie - Lantillac,commune-de-lantillac@wanadoo.fr,"Adresse : 6 place de la Mairie,56120,Lantillac | Tél : 02 97 75 35 50 | Fax : ",,mairie
mairie-56104-01,Mairie - Lanvaudan,mairie.lanvaudan@wanadoo.fr,"Adresse : 1 place de la Mairie,56240,Lanvaudan | Tél : 02 97 33 33 08 | Fax : 02 97 33 18 97",,mairie
mairie-56105-01,Mairie - Lanvénégen,mairie.lanvenegen@wanadoo.fr,"Adresse : 14 rue de la Mairie,56320,Lanvénégen | Tél : 02 97 34 40 10 | Fax : 02 97 34 42 87",http://www.lanvenegen.fr,mairie
mairie-56106-01,Mairie - Larmor-Baden,accueil@larmorbaden.com,"Adresse : Place de l'Église,56870,Larmor-Baden | Tél : 02 97 57 05 38 | Fax : 02 97 57 17 87",http://www.larmorbaden.com,mairie
mairie-56107-01,Mairie - Larmor-Plage,mairie@larmor-plage.com,"Adresse : 4 rue des Quatre-Frères-LeRoy-Queret - BP 12,56260,Larmor-Plage | Tél : 02 97 84 26 26 | Fax : 02 97 84 26 27",http://www.larmor-plage.com,mairie
mairie-56109-01,Mairie - Lauzach,mairie.lauzach@wanadoo.fr,"Adresse : 1 Plasenn-an-Ti-Kêr,56190,Lauzach | Tél : 02 97 67 05 00 | Fax : ",http://www.pays-questembert.fr,mairie
mairie-56110-01,Mairie - Lignol,mairie.lignol@wanadoo.fr,"Adresse : 6 rue de la Mairie,56160,Lignol | Tél : 02 97 27 00 85 | Fax : 02 97 27 01 52",,mairie
mairie-56111-01,Mairie - Limerzel,mairie.limerzel@wanadoo.fr,"Adresse : 12 rue de la Mairie,56220,Limerzel | Tél : 02 97 66 20 52 | Fax : 02 97 66 17 99",http://www.limerzel.fr,mairie
mairie-56112-01,Mairie - Lizio,mairie-lizio@orange.fr,"Adresse : 4 rue des Forges,56460,Lizio | Tél : 02 97 74 92 67 | Fax : 02 97 74 91 86",http://www.lizio.fr,mairie
mairie-56113-01,Mairie - Locmalo,mairie.locmalo@wanadoo.fr,"Adresse : 12 rue de Porharch,56160,Locmalo | Tél : 02 97 51 22 04 | Fax : 02 97 51 24 27",http://www.locmalo.fr,mairie
mairie-56114-01,Mairie - Locmaria,locmaria-belle-ile@wanadoo.fr,"Adresse : Rue des Acadiens,56360,Locmaria | Tél : 02 97 31 70 92 | Fax : 02 97 31 71 65",http://www.locmaria-belle-ile.com,mairie
mairie-56115-01,Mairie - Locmaria-Grand-Champ,mairie.locmaria.gd.ch@wanadoo.fr,"Adresse : 1 rue des Hortensias,56390,Locmaria-Grand-Champ | Tél : 02 97 66 60 49 | Fax : ",http://www.locmariagrandchamp.fr,mairie
mairie-56116-01,Mairie - Locmariaquer,accueil@locmariaquer.fr,"Adresse : 1 place de la Mairie,56740,Locmariaquer | Tél : 02 97 57 32 32 | Fax : 02 97 57 32 85",http://www.locmariaquer.fr,mairie
mairie-56117-01,Mairie - Locminé,mairie@locmine.fr,"Adresse : 28 rue du Général-de-Gaulle - BP 30121,56501,Locminé Cedex | Tél : 02 97 60 00 37 | Fax : 02 97 44 24 64",http://www.mairie-locmine.fr,mairie
mairie-56118-01,Mairie - Locmiquélic,mairie@mairie-locmiquelic.fr,"Adresse : 27 rue de la Mairie,56570,Locmiquélic | Tél : 02 97 33 42 24 | Fax : 02 97 33 54 94",http://www.ville-locmiquelic.fr,mairie
mairie-56119-01,Mairie - Locoal-Mendon,accueil@locoal-mendon.fr,"Adresse : 4 place du Général-de-Gaulle,56550,Locoal-Mendon | Tél : 02 97 24 60 87 | Fax : 02 97 24 55 98",http://www.locoal-mendon.fr,mairie
mairie-56120-01,Mairie - Locqueltas,accueil@locqueltas.fr,"Adresse : 12 place de la Mairie,56390,Locqueltas | Tél : 02 97 66 60 15 | Fax : 02 97 66 63 36",http://www.locqueltas.fr,mairie
mairie-56121-01,Mairie - Lorient,contact@mairie-lorient.fr,"Adresse : 2 boulevard Général-Leclerc - CS 30010,56315,Lorient Cedex | Tél : 02 97 02 22 00 | Fax : 02 97 02 22 35",http://www.lorient.fr,mairie
mairie-56122-01,Mairie - Loyat,accueil@loyat.fr,"Adresse : 11 rue de la Mairie,56800,Loyat | Tél : 02 97 93 02 33 | Fax : 02 97 93 06 67",http://www.loyat.fr,mairie
mairie-56123-01,Mairie - Malansac,mairie.malansac@wanadoo.fr,"Adresse : 4 rue du Puits-de-Bas - BP 7,56220,Malansac | Tél : 02 97 66 21 14 | Fax : 02 97 66 17 64",http://www.malansac.fr,mairie
mairie-56124-01,Mairie - Malestroit,mairie@malestroit.fr,"Adresse : 1 rue Edmond-Besson,56140,Malestroit | Tél : 02 97 75 11 75 | Fax : 02 97 75 06 68",http://www.villedemalestroit.bzh,mairie
mairie-56125-01,Mairie - Malguénac,mairie.malguenac@wanadoo.fr,"Adresse : 18 rue du Château-d'Eau,56300,Malguénac | Tél : 02 97 27 30 70 | Fax : 02 97 27 35 68",http://www.malguenac.fr,mairie
mairie-56126-01,Mairie - Marzan,mairie@marzan.fr,"Adresse : 2 rue de la Mairie,56130,Marzan | Tél : 02 99 90 63 02 | Fax : 02 99 90 90 88",http://www.marzan.fr,mairie
mairie-56127-01,Mairie - Mauron,accueil@mairie-mauron.fr,"Adresse : Place Henri-Thébault - BP 30,56430,Mauron | Tél : 02 97 22 60 24 | Fax : 02 97 22 60 12",,mairie
mairie-56128-01,Mairie - Melrand,commune-de-melrand@wanadoo.fr,"Adresse : 9 rue de la Mairie,56310,Melrand | Tél : 02 97 39 54 61 | Fax : 02 97 39 59 30",http://www.melrand.fr,mairie
mairie-56129-01,Mairie - Ménéac,mairie.meneac@wanadoo.fr,"Adresse : 10 rue de la République,56490,Ménéac | Tél : 02 97 93 30 68 | Fax : 02 97 93 35 70",,mairie
mairie-56130-01,Mairie - Merlevenez,secretariat.merlevenez@orange.fr,"Adresse : 2 rue de la Mairie,56700,Merlevenez | Tél : 02 97 65 75 08 | Fax : 02 97 65 65 55",http://www.merlevenez.com,mairie
mairie-56131-01,Mairie - Meslan,mairie.meslan@yahoo.fr,"Adresse : 15 rue Joseph-le-Gallo,56320,Meslan | Tél : 02 97 34 25 76 | Fax : 02 97 34 31 76",http://www.meslan.fr,mairie
mairie-56132-01,Mairie - Meucon,mairie@meucon.fr,"Adresse : 1 route de Pontivy,56890,Meucon | Tél : 02 97 60 74 31 | Fax : 02 97 60 70 03",http://www.meucon.fr,mairie
mairie-56133-01,Mairie - Missiriac,mairie.missiriac@wanadoo.fr,"Adresse : 6 rue Édouard-Rolland,56140,Missiriac | Tél : 02 97 75 16 14 | Fax : 02 97 75 29 92",http://missiriac.fr,mairie
mairie-56134-01,Mairie - Mohon,mairie.mohon@wanadoo.fr,"Adresse : 1 place de la Mairie,56490,Mohon | Tél : 02 97 93 94 20 | Fax : ",http://www.mohon.fr,mairie
mairie-56135-01,Mairie - Molac,commune.molac@wanadoo.fr,"Adresse : 8 rue Jollivet,56230,Molac | Tél : 02 97 45 72 35 | Fax : 02 97 45 70 57",,mairie
mairie-56136-01,Mairie - Monteneuf,commune@monteneuf.com,"Adresse : Place Saint-Nicodème,56380,Monteneuf | Tél : 02 97 93 21 20 | Fax : 02 97 93 25 72",http://www.monteneuf.fr,mairie
mairie-56137-01,Mairie - Monterblanc,mairie@monterblanc.fr,"Adresse : 5 place de la Mairie,56250,Monterblanc | Tél : 02 97 45 90 03 | Fax : 02 97 45 84 36",http://www.monterblanc.fr,mairie
mairie-56138-01,Mairie - Monterrein,mairie.monterrein@orange.fr,"Adresse : 2 rue de la Mairie,56800,Monterrein | Tél : 02 97 74 60 95 | Fax : 02 97 74 60 95",,mairie
mairie-56139-01,Mairie - Montertelot,mairie.montertelot@ploermel.com,"Adresse : 2 rue des Forges,56800,Montertelot | Tél : 02 97 74 92 39 | Fax : 02 97 74 73 95",,mairie
mairie-56140-01,Mairie - Moréac,mairie.moreac@wanadoo.fr,"Adresse : Rue de la Fontaine,56500,Moréac | Tél : 02 97 60 04 44 | Fax : 02 97 46 71 15",http://www.moreac.fr,mairie
mairie-56141-01,Mairie - Moustoir-Ac,commune.de.moustoir@wanadoo.fr,"Adresse : 11 rue de la Maillette,56500,Moustoir-Ac | Tél : 02 97 44 11 73 | Fax : 02 97 44 11 10",http://www.moustoir-ac.fr,mairie
mairie-56143-01,Mairie - Muzillac,mairie@muzillac.fr,"Adresse : Allée Raymond-le-Duigou,56190,Muzillac | Tél : 02 97 41 66 25 | Fax : 02 97 41 41 58",http://www.muzillac.fr,mairie
mairie-56144-01,Mairie - Naizin,accueil@evellys.fr,"Adresse : 1 rue de la Mairie,56500,Naizin-Évellys | Tél : 02 97 27 43 27 | Fax : 02 97 27 46 82",http://www.evellys.fr,mairie
mairie-56145-01,Mairie - Néant-sur-Yvel,mairie-neant-sur-yvel@orange.fr,"Adresse : 2 place de la Liberté,56430,Néant-sur-Yvel | Tél : 02 97 93 04 63 | Fax : 02 97 93 08 18",http://www.cc-mauron-broceliande.com,mairie
mairie-56146-01,Mairie - Neulliac,mairie.neulliac.accueil@wanadoo.fr,"Adresse : Rue de la Mairie,56300,Neulliac | Tél : 02 97 39 60 14 | Fax : 02 97 39 65 36",http://www.neulliac.fr,mairie
mairie-56147-01,Mairie - Nivillac,mairie@nivillac.fr,"Adresse : 3 rue Joseph-Dano,56130,Nivillac | Tél : 02 99 90 62 75 | Fax : 02 99 90 90 10",http://www.nivillac.fr,mairie
mairie-56148-01,Mairie - Nostang,mairie@nostang.fr,"Adresse : 2 rue Paul-Le Roux,56690,Nostang | Tél : 02 97 65 75 43 | Fax : 02 97 65 60 68",http://www.nostang.fr,mairie
mairie-56151-01,Mairie - Noyal-Pontivy,c.hersant@noyal-pontivy.fr,"Adresse : Place du Manoir,56920,Noyal-Pontivy | Tél : 02 97 38 30 66 | Fax : 02 97 38 27 67",http://www.noyal-pontivy.fr,mairie
mairie-56152-01,Mairie - Le Palais,mairie.palais@wanadoo.fr,"Adresse : Place de l'Hôtel-de-Ville,56360,Le Palais | Tél : 02 97 31 80 16 | Fax : 02 97 31 57 16",http://www.lepalais.fr,mairie
mairie-56153-01,Mairie - Péaule,mairie@peaule.fr,"Adresse : Rue Saint-Michel,56130,Péaule | Tél : 02 97 42 91 14 | Fax : 02 97 42 91 06",http://www.peaule.fr,mairie
mairie-56154-01,Mairie - Peillac,mairie@peillac.fr,"Adresse : 6 rue de la Mairie,56220,Peillac | Tél : 02 99 91 26 76 | Fax : 02 99 91 31 83",,mairie
mairie-56155-01,Mairie - Pénestin,accueil@mairie-penestin.com,"Adresse : 44 rue du Calvaire - BP 22,56760,Pénestin | Tél : 02 23 10 03 00 | Fax : 02 99 90 45 21",http://www.mairie-penestin.com,mairie
mairie-56156-01,Mairie - Persquen,mairie.persquen@wanadoo.fr,"Adresse : 11 rue Laurent-Bigoin,56160,Persquen | Tél : 02 97 51 22 57 | Fax : 02 97 51 29 34",,mairie
mairie-56157-01,Mairie - Plaudren,mairie@plaudren.fr,"Adresse : 5 place de la Mairie,56420,Plaudren | Tél : 02 97 45 90 62 | Fax : 02 97 45 82 24",http://www.plaudren.fr,mairie
mairie-56158-01,Mairie - Plescop,accueil@mairie-plescop.fr,"Adresse : 2 place Marianne,56890,Plescop | Tél : 02 97 44 43 44 | Fax : 02 97 44 60 40",http://www.plescop.fr,mairie
