#id,name,request_email,notes,home_page,tag_string,valid_email,commune
agefiph-63113-01,Agefiph - Auvergne-Rhône-Alpes,auvergne-rhones-alpes@agefiph.asso.fr,"Adresse : Immeuble Gergovia - 65 boulevard François-Mitterrand - 6e étage,63010,Clermont-Ferrand | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 04 73 34 76 93",http://www.agefiph.fr,agefiph,True,Clermont-Ferrand
cidf-24322-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Dordogne,cidff-dordogne24@orange.fr,"Adresse : 4 rue Kléber, 24000, Périgueux | Tél : 05 53 35 90 90 | Fax : ",http://www.infofemmes-aquitaine.org,cidf,True,Périgueux
cidf-24037-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Dordogne,cidff-dordogne24@orange.fr,"Adresse : 21 boulevard Jean-Moulin, 24100, Bergerac | Tél : 05 53 63 32 30 | Fax : ",http://www.infofemmes-aquitaine.org,cidf,True,Bergerac
cidf-33063-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Gironde,cidff.gironde@orange.fr,"Adresse : 13 rue Thiac,33000,Bordeaux | Tél : 05 56 44 30 30 | Fax : 05 56 48 40 60",http://gironde.cidff.info,cidf,True,Bordeaux
cidf-33243-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Gironde,cidff.gironde@orange.fr,"Adresse : 13 rue Thiac,33000,Bordeaux | Tél : 05 56 44 30 30 | Fax : 05 56 48 40 60",http://gironde.cidff.info,cidf,True,Bordeaux
cidf-92050-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Hauts-de-Seine,cidff92nanterre@gmail.com,"Adresse : 71 rue des Fontenelles,92000,Nanterre | Tél : 01 71 06 35 50 | Fax : 01 49 06 94 69",http://hautsdeseine-nanterre.cidff.info,cidf,True,Nanterre
cidf-92012-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Hauts-de-Seine,info@cidff92bb.fr,"Adresse : 5 rue des Quatre-Cheminées,92100,Boulogne-Billancourt | Tél : 01 41 31 08 74 | Fax : ",,cidf,True,Boulogne-Billancourt
cidf-92023-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Hauts-de-Seine,cidffclamart92@free.fr,"Adresse : 55 avenue Jean-Jaurès,92140,Clamart | Tél : 01 46 44 71 77 | Fax : ",http://www.hautsdeseine-clamart.cidff.info,cidf,True,Clamart
cidf-40279-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Landes,cidff.stpaul@orange.fr,"Adresse : Centre social - Résidence Metge - 112 avenue de la Résistance,40990,Saint-Paul-lès-Dax | Tél : 05 58 91 57 51 | Fax : ",http://www.infofemmes.com,cidf,True,Saint-Paul-lès-Dax
cidf-40192-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Landes,cidfland@wanadoo.fr,"Adresse : Bosquet - Résidence La Douze - 181 rue Renée-Darriet,40000,Mont-de-Marsan | Tél : 05 58 46 41 43 | Fax : 05 58 75 56 69",http://www.infofemmes.com,cidf,True,Mont-de-Marsan
cidf-44109-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Loire-Atlantique,cidffnantes@orange.fr,"Adresse : 5 rue Maurice-Duval,44000,Nantes | Tél : 02 40 48 13 83 | Fax : 02 40 48 22 80",http://loireatlantique-nantes.cidff.info,cidf,True,Nantes
cidf-44184-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Loire-Atlantique,cidffnazairien44@orange.fr,"Adresse : 115 boulevard Maupertuis,44600,Saint-Nazaire | Tél : 02 40 66 53 08 | Fax : ",http://www.paysdelaloire-fr.cidff.info,cidf,True,Saint-Nazaire
cidf-45234-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Loiret,contact.cidff45@gmail.com,"Adresse : Résidence Dauphine - 5 rue des Roses,45100,Orléans | Tél : 02 38 77 02 33 | Fax : ",http://www.infofemmes.com,cidf,True,Orléans
cidf-45208-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Loiret,contact-cidff45mo@orange.fr,"Adresse : 31 avenue Louis-Maurice-Chautemps,45200,Montargis | Tél : 02 38 98 53 76 | Fax : ",http://www.infofemmes.com,cidf,True,Montargis
cidf-54323-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Meurthe-et-Moselle,cediffbaie.longwy54@wanadoo.fr,"Adresse : Maison des services du Grand Longwy - 14 rue Stanislas - BP 25-4,54405,Longwy Cedex | Tél : 03 82 23 29 88 | Fax : 03 82 25 40 50",http://www.infofemmes.com,cidf,True,Longwy
cidf-54329-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Meurthe-et-Moselle,secretariat@cidff-luneville.fr,"Adresse : 9 rue René-Basset,54300,Lunéville | Tél : 03 83 74 21 07 | Fax : ",http://www.meurtheetmoselle-luneville.cidff.info,cidf,True,Lunéville
cidf-54395-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Meurthe-et-Moselle,cidff54@sfr.fr,"Adresse : 1 rue du Manège,54000,Nancy | Tél : 03 83 35 35 87 | Fax : ",http://meutheetmoselle-nancy.cidff.info,cidf,True,Nancy
cidf-57463-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Moselle,ciff-cidf.metz@wanadoo.fr,"Adresse : 2 rue du Haut-de-Sainte-Croix,57000,Metz | Tél : 03 87 76 03 48 | Fax : 03 87 76 31 79",http://www.infofemmes.com,cidf,True,Metz
cidf-57227-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Moselle,ciff-cidf-bhl57@orange.fr,"Adresse : Mairie - Avenue Saint-Rémy,57600,Forbach | Tél : 03 87 84 31 25 | Fax : 03 87 84 30 32",http://www.infofemmes.com,cidf,True,Forbach
cidf-59350-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Nord,cidfflille@gmail.com,"Adresse : 92 B rue des Stations,59000,Lille | Tél : 03 20 54 27 66 | Fax : ",http://www.nord-lille.cidff.info,cidf,True,Lille
cidf-59599-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Nord,cidffrbxpcgmarcq@gmail.com,"Adresse : 124 bis rue de l'Epidème,59200,Tourcoing | Tél : 03 20 01 37 37 | Fax : ",http://www.infofemmes.com,cidf,True,Tourcoing
crib-03321-01,Centre de ressources et d'information des bénévoles (Crib) - Profession sport et loisirs d'Auvergne,auvergne@profession-sport-loisirs.fr,"Adresse : Maison départementale des sports - 4 rue de Refembre, 3000, Moulins | Tél : 04 70 44 79 21 | Fax : 04 70 44 79 21",http://www.auvergne.profession-sport-loisirs.fr,crib,True,Moulins
crib-03190-01,Centre de ressources et d'information des bénévoles (Crib) - Profession sport et loisirs d'Auvergne,auvergne@profession-sport-loisirs.fr,"Adresse : Maison départementale des sports - 4 rue de Refembre, 3000, Moulins | Tél : 04 70 44 79 21 | Fax : 04 70 44 79 21",http://auvergne.profession-sport-loisirs.fr,crib,True,Moulins
cio-62588-01,Centre dinformation et dorientation (CIO) - Montreuil,ce.0620205l@ac-lille.fr,"Adresse : 11 rue de la Licorne,62170,Montreuil-sur-Mer | Tél : 03 21 06 10 22 | Fax : ",http://www.education.gouv.fr,cio,True,Montreuil-sur-Mer
cio-93048-01,Centre dinformation et dorientation (CIO) - Montreuil,cio.montreuil@ac-creteil.fr,"Adresse : 21 avenue Walwein,93100,Montreuil | Tél : 01 48 57 45 86 | Fax : ",http://orientation.ac-creteil.fr,cio,True,Montreuil
cio-97411-01,Centre dinformation et dorientation (CIO) - Saint-Denis,cio-saint-denis@ac-reunion.fr,"Adresse : 5 rue Maréchal-Lerclerc,97400,Saint-Denis | Tél : 02 62 21 18 81 | Fax : 02 62 30 33 85",http://www.ac-reunion.fr,cio,True,Saint-Denis
cio-93066-01,Centre dinformation et dorientation (CIO) - Saint-Denis,cio.st-denis@ac-creteil.fr,"Adresse : 2-4 allée de Seine,93200,Saint-Denis | Tél : 01 48 22 28 28 | Fax : ",http://orientation.ac-creteil.frcio-saintdenis,cio,True,Saint-Denis
cio-68297-01,Centre dinformation et dorientation (CIO) - Saint-Louis,cio.saint-louis@ac-strasbourg.fr,"Adresse : 4 rue Jean-Mermoz,68300,Saint-Louis | Tél : 03 89 69 80 08 | Fax : ",http://www.education.gouv.fr,cio,True,Saint-Louis
cio-97414-01,Centre dinformation et dorientation (CIO) - Saint-Louis,cio.saint-louis@ac-reunion.fr,"Adresse : 37 rue Sarda-Garriga - BP 149,97899,Saint-Louis Cedex 3 | Tél : +262 2 62 26 15 32 | Fax : +262 2 62 26 77 94",http://www.ac-reunion.fr,cio,True,Saint-Louis
cij-85191-01,Centre information jeunesse - La Roche-sur-Yon,14bis@larochesuryon.fr,"Adresse : Médiathèque Benjamin-Rabier,85000,La Roche-sur-Yon | Tél : 02 51 36 95 95 | Fax : ",http://www.villelarochesuryon/jeunes,cij,True,La Roche-sur-Yon
cij-85191-02,Centre information jeunesse - La Roche-sur-Yon,14bis@larochesuryon.fr,"Adresse : Esplanade Jeannie-Mazurelle,85021,La Roche-sur-Yon | Tél : 02 51 36 95 95 | Fax : ",http://larochesuryon.frjeunes,cij,True,La Roche-sur-Yon
cnfpt-51108-01,Centre national de la fonction publique territoriale (CNFPT) - Antenne départementale - Marne,secretariat.drca51@cnfpt.fr,"Adresse : Complexe Gérard-Philippe - 19 avenue du Général-Sarrail - CS 60189,501009,Châlons-en-Champagne Cedex | Tél : 03 26 64 37 43 | Fax : 03 26 21 43 00",http://www.cnfpt.fr,cnfpt,True,Châlons-en-Champagne
cnfpt-51454-01,Centre national de la fonction publique territoriale (CNFPT) - Antenne départementale - Marne,aline.rossetti@cnfpt.fr,"Adresse : Faculté de droit - 57 bis rue Pierre-Taittinger,501100,Reims | Tél : 03 26 64 72 98 | Fax : ",http://www.cnfpt.fr,cnfpt,True,Reims
cij-21231-01,Centre régional information jeunesse - Bourgogne-Franche-Comté,documentation@jeunes-bfc.fr,"Adresse : Maison des associations - 2 rue des Corroyeurs - Boîte aux lettres LL1, 201000, Dijon | Tél : 03 80 44 18 35 | Fax : 03 80 44 18 45",http://www.ijbourgogne.com,cij,True,Dijon
cij-25056-01,Centre régional information jeunesse - Bourgogne-Franche-Comté,contact@jeunes-bfc.fr,"Adresse : 27 rue de la République, 25000, Besançon | Tél : 03 81 21 16 16 | Fax : 03 81 82 83 17",http://www.jeunes-fc.com,cij,True,Besançon
cij-44109-01,Centre régional information jeunesse - Nantes,crij@infos-jeunes.fr,"Adresse : 37 rue Saint-Léonard,44000,Nantes | Tél : 02 51 72 94 50 | Fax : 02 40 20 16 88",http://www.infos-jeunes.fr,cij,True,Nantes
cij-44109-05,Centre régional information jeunesse - Nantes,crij@infos-jeunes.fr,"Adresse : 37 rue Saint-Léonard,44000,Nantes | Tél : 02 51 72 94 50 | Fax : ",http://www.infos-jeunes.fr,cij,True,Nantes
cij-44109-07,Centre régional information jeunesse - Nantes,crij@infos-jeunes.fr,"Adresse : 37, rue Saint-Léonard,44000,Nantes | Tél : | Fax : ",http://www.infos-jeunes.fr,cij,True,Nantes
cci-07019-01,Chambre de commerce et d'industrie (CCI) - Ardèche,accueil@ardeche.cci.fr,"Adresse : 24 chemin La Temple - BP 215, 7205, Aubenas Cedex | Tél : 04 75 88 07 07 | Fax : 04 75 33 07 07",http://www.ardeche.cci.fr,cci,True,Aubenas
cci-07186-01,Chambre de commerce et d'industrie (CCI) - Ardèche,accueil@ardeche.cci.fr,"Adresse : 140 chemin de Saint-Clair, 7000, Privas | Tél : 04 75 88 07 07 | Fax : 04 75 33 07 07",http://www.ardeche.cci.fr,cci,True,Privas
cci-07010-01,Chambre de commerce et d'industrie (CCI) - Ardèche,accueil@ardeche.cci.fr,"Adresse : Parc des Platanes - 38 rue Sadi-Carnot - BP 185, 7104, Annonay Cedex | Tél : 04 75 88 07 07 | Fax : 04 75 33 07 07",http://www.ardeche.cci.fr,cci,True,Annonay
cci-12202-01,Chambre de commerce et d'industrie (CCI) - Aveyron,info@aveyron.cci.fr,"Adresse : 17 rue Aristide-Briand - BP 3349, 012033, Rodez Cedex 9 | Tél : 05 65 77 77 00 | Fax : 05 65 77 77 09",http://www.aveyron.cci.fr,cci,True,Rodez
cci-12145-01,Chambre de commerce et d'industrie (CCI) - Aveyron,a.roques@aveyron.cci.fr,"Adresse : 38 boulevard de l'Ayrolle, 012100, Millau | Tél : 05 65 77 77 00 | Fax : 05 65 59 59 17",http://www.aveyron.cci.fr,cci,True,Millau
cci-81065-01,Chambre de commerce et d'industrie (CCI) - Tarn,cci@tarn.cci.fr,"Adresse : 40 allée Alphonse-Juin - BP 30217,801101,Castres Cedex | Tél : 05 67 46 60 00 | Fax : 05 67 46 60 02",http://www.tarn.cci.fr,cci,True,Castres
cci-81004-01,Chambre de commerce et d'industrie (CCI) - Tarn,cci@tarn.cci.fr,"Adresse : Maison de l'économie - 1 avenue Général-Hoche,801012,Albi Cedex 9 | Tél : 05 67 46 60 00 | Fax : 05 67 46 60 01",http://www.tarn.cci.fr,cci,True,Albi
epci-88196-01,Communauté de communes - Hautes Vosges,contact@cchautesvosges.fr,"Adresse : Espace du Tilleul - 16 rue Charles-de-Gaulle - 2ème étage - BP 60091,88403,Gérardmer Cédex | Tél : 03 29 27 29 04 | Fax : 03 29 63 48 69",http://cchautesvosges.fr,epci,True,Gérardmer Cédex
epci-88486-01,Communauté de communes - Hautes Vosges,contact@cchautesvosges.fr,"Adresse : 16 rue Charles-de-Gaulle,88400,Gérardmer | Tél : 03 29 27 29 04 | Fax : ",http://www.cchautesvosges.fr,epci,True,Gérardmer
epci-24212-01,Communauté de communes - Portes Sud Périgord,cc.portessudperigord@orange.fr,"Adresse : 23 avenue de la Bastide, 24500, Eymet | Tél : 05 53 22 57 94 | Fax : ",http://www.psp24.fr,epci,True,Eymet
epci-24167-01,Communauté de communes - Portes Sud Périgord,cc.portessudperigord@orange.fr,"Adresse : 23 avenue de la Bastide, 24500, Eymet | Tél : 05 53 22 57 94 | Fax : 05 53 22 57 94",http://www.ccpsp24.fr,epci,True,Eymet
epci-70198-01,Communauté de communes - Quatre Rivières,secretariat@cc4r.eu,"Adresse : 8 rue Jean-Mourey,70180,Dampierre-sur-Salon | Tél : 03 84 67 13 74 | Fax : 03 84 67 29 07",http://www.cc4r.eu,epci,True,Dampierre-sur-Salon
epci-74162-01,Communauté de communes - Quatre Rivières,secretariat@cc4r.fr,"Adresse : 28 chemin de la Ferme-Saillet,74250,Fillinges | Tél : 04 50 31 46 95 | Fax : 04 50 31 68 12",http://www.cc4r.fr,epci,True,Fillinges
epci-88258-01,Communauté de communes - Vosges côté Sud Ouest,contact@vosgescotesudouest.fr,"Adresse : 43 rue de la République,88260,Darney | Tél : 03 29 09 43 16 | Fax : ",http://www.vosgescotesudouest.fr,epci,True,Darney
epci-88124-01,Communauté de communes - Vosges côté Sud Ouest,contact@vosgescotesudouest.fr,"Adresse : 43 rue de la République,88260,Darney | Tél : 03 29 09 43 16 | Fax : ",http://www.vosgescotesudouest.fr,epci,True,Darney
conciliateur_fiscal-32013-01,Conciliateur fiscal départemental - Gers,conciliateurfiscal32@dgfip.finances.gouv.fr,"Adresse : BP 40238,32004,Auch Cedex | Tél : | Fax : ",http://www.impots.gouv.fr,conciliateur_fiscal,True,Auch
conciliateur_fiscal-09122-01,Conciliateur fiscal départemental - Gers,conciliateurfiscal09@dgfip.finances.gouv.fr,"Adresse : Rue Pierre-Mendes France - BP 101, 9007, Foix Cedex | Tél :  | Fax : ",http://www.impots.gouv.fr,conciliateur_fiscal,True,Foix
dreal_ut-73065-01,"Direction régionale de l'environnement, de l'aménagement et du logement - Auvergne-Rhône-Alpes",ud-ds.dreal-auvergne-rhone-alpes@developpement-durable.gouv.fr,"Adresse : 430 rue Belle-Eau,73000,Chambéry | Tél : 04 79 62 69 70 | Fax : 04 79 69 51 61",http://www.auvergne-rhone-alpes.developpement-durable.gouv.fr,dreal_ut,True,Chambéry
dreal_ut-03321-01,"Direction régionale de l'environnement, de l'aménagement et du logement - Auvergne-Rhône-Alpes",ud-cap.dreal-ara@developpement-durable.gouv.fr,"Adresse : 51 boulevard Saint-Exupéry, 3400, Yzeure | Tél : 04 70 48 78 51 | Fax : 04 70 48 78 41",http://www.auvergne.developpement-durable.gouv.fr,dreal_ut,True,Yzeure
dreal_ut-15014-01,"Direction régionale de l'environnement, de l'aménagement et du logement - Auvergne-Rhône-Alpes",ud-cap-icpe15.dreal-ara@developpement-durable.gouv.fr,"Adresse : 13 place de la Paix, 015000, Aurillac | Tél : 04 71 62 49 39 | Fax : 04 73 43 15 99",http://www.auvergne.developpement-durable.gouv.fr,dreal_ut,True,Aurillac
dreal_ut-01053-01,"Direction régionale de l'environnement, de l'aménagement et du logement - Auvergne-Rhône-Alpes",ud-a.dreal-auvergne-rhone-alpes@developpement-durable.gouv.fr,"Adresse : Immeuble DDT - 23 rue Bourgmayer, 01000, Bourg-en-Bresse | Tél : 04 74 45 07 70 | Fax : 04 74 50 32 50",http://www.auvergne-rhone-alpes.developpement-durable.gouv.fr,dreal_ut,True,Bourg-en-Bresse
dreal_ut-42218-01,"Direction régionale de l'environnement, de l'aménagement et du logement - Auvergne-Rhône-Alpes",ud-lhl.dreal-auvergne-rhone-alpes@developpement-durable.gouv.fr,"Adresse : Immeuble Loire Républicaine - 16 place Jean-Jaurès,42000,Saint-Étienne | Tél : 04 77 43 53 53 | Fax : 04 77 43 53 63",http://www.auvergne-rhone-alpes.developpement-durable.gouv.fr,dreal_ut,True,Saint-Étienne
dreal_ut-89024-01,"Direction régionale de l'environnement, de l'aménagement et du logement - Bourgogne-Franche-Comté",ut5889-auxerre.ut.dreal-bourgogne@developpement-durable.gouv.fr,"Adresse : ZI de la Plaine des Isles,89000,Auxerre | Tél : 03 86 46 67 00 | Fax : 03 86 48 34 34",http://www.bourgogne-franche-comte.developpement-durable.gouv.fr,dreal_ut,True,Auxerre
dreal_ut-39300-01,"Direction régionale de l'environnement, de l'aménagement et du logement - Bourgogne-Franche-Comté",ud39.dreal-bourgogne-franche-comte@developpement-durable.gouv.fr,"Adresse : 165 avenue Paul-Seguin,39000,Lons-le-Saunier | Tél : 03 84 87 30 35 | Fax : 03 84 87 30 39",http://www.bourgogne-franche-comte.developpement-durable.gouv.fr,dreal_ut,True,Lons-le-Saunier
