#id,name,request_email,notes,home_page,tag_string
gendarmerie-97128-01,Brigade de gendarmerie - Sainte-Anne 97128-01,bta.ste-anne@gendarmerie.interieur.gouv.fr,"Adresse : 1 Impasse Joas Section Castaing,97180,Sainte-Anne | Tél : +590 85 19 50 | Fax : +590 85 19 60",http://www.gendarmerie.interieur.gouv.fr,gendarmerie
greta-13213-01,Greta - Marseille-Méditerranée 13213-01,gmm@ac-aix-marseille.fr,"Adresse : Lycée technique régional Jean-Perrin - 74 rue Verdillon, 13010, Marseille | Tél : 04 91 96 35 30 | Fax : 04 91 74 01 03",http://www.gretanet.com,greta
mairie-54003-01,Mairie - Aboncourt 54003-01,mairie.aboncourt@orange.fr,"Adresse : 2 rue du Paquis,54115,Aboncourt | Tél : 03 83 52 31 46 | Fax : ",http://www.aboncourt.mairie54.fr,mairie
mairie-57001-01,Mairie - Aboncourt 57001-01,mairiedaboncourt@wanadoo.fr,"Adresse : 40 rue Principale,57920,Aboncourt | Tél : 03 82 83 50 17 | Fax : ",,mairie
mairie-16001-01,Mairie - Abzac 16001-01,mairie-abzac@orange.fr,"Adresse : 4 place Morice-Lipsi, 16500, Abzac | Tél : 05 45 89 40 21 | Fax : 05 45 84 23 16",,mairie
mairie-33001-01,Mairie - Abzac 33001-01,mairieabzac2@wanadoo.fr,"Adresse : 22 rue du Docteur-Texier,33230,Abzac | Tél : 05 57 49 07 38 | Fax : 05 57 69 45 09",http://www.commune-abzac.fr,mairie
mairie-78005-01,Mairie - Achères 78005-01,sgcourrier@mairie-acheres78.fr,"Adresse : 6-8 rue Deschamps-Guérin,78260,Achères | Tél : 01 39 79 64 00 | Fax : 01 39 11 22 42",http://www.mairie-acheres78.fr,mairie
mairie-18001-01,Mairie - Achères 18001-01,mairie.acheres@wanadoo.fr,"Adresse : 2 route d'Henrichemont, 18250, Achères | Tél : 02 48 26 72 10 | Fax : 02 48 26 72 10",http://www.acheres18.fr,mairie
mairie-06001-01,Mairie - Aiglun 06001-01,mairie.aiglun06@wanadoo.fr,"Adresse : 9 place de la Mairie, 6910, Aiglun | Tél : 04 93 05 85 35 | Fax : ",http://www.ville-aiglun.fr,mairie
mairie-04001-01,Mairie - Aiglun 04001-01,mairie@commune-aiglun04.fr,"Adresse : Avenue des Docteurs-Paul-et-Marguerite-Jouve, 4510, Aiglun | Tél : 04 92 34 62 37 | Fax : 04 92 34 62 77",http://commune-aiglun04.fr,mairie
mairie-78007-01,Mairie - Aigremont 78007-01,accueil@aigremont-78.fr,"Adresse : 5 place du Château,78240,Aigremont | Tél : 01 39 65 38 16 | Fax : 01 30 65 07 44",http://www.mairie-aigremont-78.fr,mairie
mairie-89002-01,Mairie - Aigremont 89002-01,mairie-aigremont89@orange.fr,"Adresse : 21 rue du Général-Delamalle,89800,Aigremont | Tél : 03 86 18 91 56 | Fax : ",,mairie
mairie-30002-01,Mairie - Aigremont 30002-01,mairie-aigremont30@orange.fr,"Adresse : 3 rue de l'École,30350,Aigremont | Tél : 04 66 83 00 80 | Fax : 04 66 78 90 52",http://www.aigremont-gard.fr,mairie
mairie-63001-01,Mairie - Aigueperse 63001-01,secretariat@aigueperse.fr,"Adresse : 153 Grande rue,63260,Aigueperse | Tél : 04 73 63 60 34 | Fax : 04 73 64 20 69",http://www.aigueperse.fr,mairie
mairie-69002-01,Mairie - Aigueperse 69002-01,aigueperse69@numericable.fr,"Adresse : Le Bourg,69790,Aigueperse | Tél : 04 74 66 92 88 | Fax : 04 74 66 91 42",,mairie
mairie-11001-01,Mairie - Aigues-Vives 11001-01,mairie-aiguesvives@wanadoo.fr,"Adresse : 3 place de la Mairie, 11800, Aigues-Vives | Tél : 04 68 79 29 20 | Fax : 04 68 79 29 24",,mairie
mairie-09002-01,Mairie - Aigues-Vives 09002-01,aiguesvives.mairie@wanadoo.fr,"Adresse : 12 rue de la Fontaine, 9600, Aigues-Vives | Tél : 05 61 01 24 62 | Fax : 05 61 01 24 62",http://www.aigues-vives09.fr,mairie
mairie-34007-01,Mairie - Aigues-Vives 34007-01,commune.aiguesvives-herault@orange.fr,"Adresse : 1 place de la Mairie,34210,Aigues-Vives | Tél : 04 68 91 23 89 | Fax : 04 68 91 27 32",http://www.aiguesvives-herault.fr,mairie
mairie-30004-01,Mairie - Aigues-Vives 30004-01,mairie@aigues-vives.fr,"Adresse : 108 Grand'rue,30670,Aigues-Vives | Tél : 04 66 35 33 63 | Fax : 04 66 35 04 56",http://www.aigues-vives.fr,mairie
mairie-88004-01,Mairie - Ainvelle 88004-01,mairie.ainvelle@orange.fr,"Adresse : 14 place de la Mairie,88320,Ainvelle | Tél : 03 29 07 92 76 | Fax : 03 29 07 92 76",,mairie
mairie-70008-01,Mairie - Ainvelle 70008-01,commune.ainvelle@orange.fr,"Adresse : 4 rue Philippe-Grappin,70800,Ainvelle | Tél : 03 84 49 87 18 | Fax : 03 84 49 87 18",,mairie
mairie-02009-01,Mairie - Alaincourt 02009-01,mairie.alaincourt@gmail.com,"Adresse : 5 bis rue des Écoles, 2240, Alaincourt | Tél : 03 23 07 76 04 | Fax : ",http://alaincourt-aisne.fr,mairie
mairie-70010-01,Mairie - Alaincourt 70010-01,mairie.alaincourt@wanadoo.fr,"Adresse : 21 rue des Fontaines-Fleuries,70210,Alaincourt | Tél : 03 84 92 87 42 | Fax : ",,mairie
mairie-46001-01,Mairie - Albas 46001-01,mairiealbas@wanadoo.fr,"Adresse : Place Ernest-Lafon,46140,Albas | Tél : 05 65 20 12 21 | Fax : 05 65 20 34 99",http://www.albas.fr,mairie
mairie-11006-01,Mairie - Albas 11006-01,albas.11@wanadoo.fr,"Adresse : 10 rue Malpetto, 11360, Albas | Tél : 04 68 45 90 58 | Fax : 04 68 45 82 71",,mairie
mairie-31006-01,Mairie - Albiac 31006-01,mairie-albiac31@orange.fr,"Adresse : Le Village, 31460,Albiac | Tél : 05 61 83 23 37 | Fax : ",,mairie
mairie-46002-01,Mairie - Albiac 46002-01,mairie.2.albiac@wanadoo.fr,"Adresse : Le Bourg,46500,Albiac | Tél : 05 65 33 16 25 | Fax : ",http://www.albiac.fr,mairie
mairie-02010-01,Mairie - Allemant 02010-01,mairie.allemant02@wanadoo.fr,"Adresse : 6 rue Principale, 2320, Allemant | Tél : 03 23 80 79 92 | Fax : ",www.allemant.fr,mairie
mairie-51005-01,Mairie - Allemant 51005-01,mairie.allemant@wanadoo.fr,"Adresse : 1 rue de Signy, 51120,Allemant | Tél : 03 26 81 61 24 | Fax : 03 26 81 61 24",http://www.allemant.fr,mairie
mairie-23003-01,Mairie - Alleyrat 23003-01,mairie.alleyrat0987@orange.fr,"Adresse : La Ribière, 23200, Alleyrat | Tél : 05 55 66 89 50 | Fax : ",,mairie
mairie-19006-01,Mairie - Alleyrat 19006-01,alleyrat.mairie@wanadoo.fr,"Adresse : Le Bourg, 19200, Alleyrat | Tél : 05 55 95 10 43 | Fax : 05 55 95 30 30",,mairie
mairie-79136-01,Mairie - Alloinay 79136-01,mairie-gournay@paysmellois.org,"Adresse : Gournay-Loizé - 1 impasse des Trois-Érables,79110,Alloinay | Tél : 05 49 29 31 04 | Fax : 05 49 29 97 65",http://alloinay.fr,mairie
mairie-79136-02,Mairie - Alloinay 79136-02,mairie-lesalleuds@paysmellois.org,"Adresse : Mairie déléguée des Alleuds - 3 place de la Mairie,79110,Alloinay | Tél : 05 49 29 34 62 | Fax : ",http://www.alloinay.fr,mairie
mairie-79007-01,Mairie - Allonne 79007-01,mairie-allonne@orange.fr,"Adresse : 4 rue du Prieuré,79130,Allonne | Tél : 05 49 63 72 23 | Fax : ",,mairie
mairie-60009-01,Mairie - Allonne 60009-01,mairie.allonne@wanadoo.fr,"Adresse : 9 rue de la Mairie,60000,Allonne | Tél : 03 44 02 06 69 | Fax : 03 44 02 55 88",http://www.allonne.fr,mairie
mairie-72003-01,Mairie - Allonnes 72003-01,mairie@ville-allonnes.fr,"Adresse : Esplanade Nelson-Mandela,72700,Allonnes | Tél : 02 43 83 42 01 | Fax : 02 43 83 42 33",http://www.ville-allonnes.fr,mairie
mairie-49002-01,Mairie - Allonnes 49002-01,mairie@allonnes-49.fr,"Adresse : 135 rue Albert-Pottier - BP 23,49650,Allonnes | Tél : 02 41 52 00 30 | Fax : 02 41 38 86 65",http://www.allonnes-49.fr,mairie
mairie-47007-01,Mairie - Allons 47007-01,mairiedeallons@orange.fr,"Adresse : Le Bourg,47420,Allons | Tél : 05 53 89 11 59 | Fax : ",,mairie
mairie-04005-01,Mairie - Allons 04005-01,mairie.allons@orange.fr,"Adresse : Rue Amiral-de-Richery, 4170, Allons | Tél : 04 92 89 10 73 | Fax : 04 92 89 10 42",http://www.allons-alpes-haute-provence.fr,mairie
mairie-15003-01,Mairie - Ally 15003-01,mairiedally@orange.fr,"Adresse : Le Bourg, 15700, Ally | Tél : 04 71 69 00 69 | Fax : 04 71 69 01 55",,mairie
mairie-43006-01,Mairie - Ally 43006-01,mairieally@orange.fr,"Adresse : Le Bourg,43380,Ally | Tél : 04 71 76 78 03 | Fax : ",,mairie
mairie-09008-01,Mairie - Alos 09008-01,commune.alos@orange.fr,"Adresse : Le Village, 9200, Alos | Tél : 05 61 66 45 60 | Fax : ",,mairie
mairie-81007-01,Mairie - Alos 81007-01,mairiealos@wanadoo.fr,"Adresse : Le Bourg, 81140,Alos | Tél : 05 63 33 95 97 | Fax : ",,mairie
mairie-10005-01,Mairie - Amance 10005-01,commune-amance@wanadoo.fr,"Adresse : 19 Grande rue, 10140, Amance | Tél : 03 25 41 37 36 | Fax : ",http://www.amancevilleaubois.fr,mairie
mairie-54012-01,Mairie - Amance 54012-01,mairie@amance.fr,"Adresse : 20 rue Saint-Jean,54770,Amance | Tél : 03 83 31 16 45 | Fax : ",http://www.amance.fr,mairie
mairie-70012-01,Mairie - Amance 70012-01,amance.mairie@wanadoo.fr,"Adresse : Place du Général-Ferrand,70160,Amance | Tél : 03 84 91 10 53 | Fax : 03 84 91 22 88",,mairie
mairie-95011-01,Mairie - Ambleville 95011-01,mairie.ambleville@wanadoo.fr,"Adresse : Rue de la Mairie,95710,Ambleville | Tél : 01 34 67 71 01 | Fax : ",http://www.ambleville.fr,mairie
mairie-16010-01,Mairie - Ambleville 16010-01,ambleville16.mairie@wanadoo.fr,"Adresse : 6 le Château, 16300, Ambleville | Tél : 05 45 80 54 71 | Fax : 05 45 80 54 71",,mairie
mairie-76006-01,Mairie - Amfreville-les-Champs 76006-01,mairie@amfrevilleleschamps76.fr,"Adresse : 18 route de Berville,76560,Amfreville-les-Champs | Tél : 02 35 56 07 86 | Fax : 02 35 56 07 86",http://www.villages76.com/amfrevilleleschamps.html,mairie
mairie-27012-01,Mairie - Amfreville-les-Champs 27012-01,mairie.amfrevilleleschamps@wanadoo.fr,"Adresse : 72 rue de la Mairie, 27380, Amfreville-les-Champs | Tél : 02 32 49 71 65 | Fax : ",http://www.amfreville-les-champs27.fr,mairie
mairie-45004-01,Mairie - Amilly 45004-01,mairie.amilly@amilly45.fr,"Adresse : 3 rue de la Mairie - BP 909,45209,Amilly Cedex | Tél : 02 38 28 76 00 | Fax : 02 38 28 76 11",http://www.amilly.com,mairie
mairie-28006-01,Mairie - Amilly 28006-01,mairie-amilly28@orange.fr,"Adresse : 30 rue de la Mairie, 28300, Amilly | Tél : 02 37 32 98 13 | Fax : 02 37 32 83 61",http://www.mairie.amilly28300.pagesperso-orange.fr,mairie
mairie-16011-01,Mairie - Anais 16011-01,contact@mairie-anais.fr,"Adresse : 9 place de la Liberté, 16560, Anais | Tél : 05 45 20 61 84 | Fax : 05 45 20 72 76",http://www.mairie-anais.fr,mairie
mairie-17007-01,Mairie - Anais 17007-01,mairie@anais17.fr,"Adresse : Les Rivières d'Anais - 10 rue de l'Aunis, 17540, Anais | Tél : 05 46 68 20 55 | Fax : 05 46 00 46 58",,mairie
mairie-57020-01,Mairie - Ancerville 57020-01,ancerville.mairie@wanadoo.fr,"Adresse : 39 rue Saint-Michel,57580,Ancerville | Tél : 03 87 64 69 33 | Fax : ",,mairie
mairie-55010-01,Mairie - Ancerville 55010-01,mairieancerville@orange.fr,"Adresse : Place Municipale,55170,Ancerville | Tél : 03 29 75 30 08 | Fax : 03 29 75 23 61",http://www.mairieancerville.fr,mairie
mairie-86003-01,Mairie - Anché 86003-01,anche@departement86.fr,"Adresse : 1 place Odile-Bibaud,86700,Anché | Tél : 05 49 42 42 77 | Fax : ",http://www.anche-village.net,mairie
mairie-37004-01,Mairie - Anché 37004-01,mairie-anche@wanadoo.fr,"Adresse : 1 rue de la Mairie,37500,Anché | Tél : 02 47 93 44 21 | Fax : ",,mairie
mairie-95014-01,Mairie - Andilly 95014-01,secretariat@mairie-andilly.fr,"Adresse : Hôtel de Ville - 1 rue René-Cassin,95580,Andilly | Tél : 01 34 16 46 36 | Fax : 01 39 59 22 93",http://www.ville-andilly-95.fr,mairie
mairie-54016-01,Mairie - Andilly 54016-01,commune.andilly@orange.fr,"Adresse : Place de l'Église,54200,Andilly | Tél : 03 83 62 85 20 | Fax : ",,mairie
mairie-74009-01,Mairie - Andilly 74009-01,mairie@andilly74.fr,"Adresse : Saint-Symphorien - 36 chemin du Champ-de-Foire,74350,Andilly | Tél : 04 50 44 21 43 | Fax : 04 50 66 61 32",http://www.andilly74.fr,mairie
mairie-14012-01,Mairie - Angerville 14012-01,commune.angerville@wanadoo.fr,"Adresse : Chemin de l'Église, 14430, Angerville | Tél : 02 31 39 87 47 | Fax : ",,mairie
mairie-91016-01,Mairie - Angerville 91016-01,accueil@mairie-angerville.fr,"Adresse : 34 rue Nationale - BP 29, 91670,Angerville | Tél : 01 64 95 20 14 | Fax : 01 64 95 20 99",http://www.mairie-angerville.fr,mairie
mairie-04007-01,Mairie - Angles 04007-01,mairie.angles0275@orange.fr,"Adresse : Le Village, 4170, Angles | Tél : 04 92 89 08 54 | Fax : 04 92 89 08 54",,mairie
mairie-85004-01,Mairie - Angles 85004-01,mairie@angles.fr,"Adresse : 5 rue de la Garde,85750,Angles | Tél : 02 51 97 52 24 | Fax : 02 51 97 50 73",http://www.angles.fr,mairie
mairie-86005-01,Mairie - Angliers 86005-01,angliers@departement86.fr,"Adresse : 8 allée Aubert-de-Tourny,86330,Angliers | Tél : 05 49 98 19 10 | Fax : 05 49 98 10 79",http://www.angliers.a3w.fr,mairie
mairie-17009-01,Mairie - Angliers 17009-01,mairie@angliers.fr,"Adresse : Place Saint-Pierre, 17540, Angliers | Tél : 05 46 37 57 69 | Fax : 05 46 42 33 56",http://www.angliers.fr,mairie
mairie-58007-01,Mairie - Annay 58007-01,annay@orange.fr,"Adresse : Le Bourg,58450,Annay | Tél : 03 86 39 22 65 | Fax : ",http://www.annayautrement.com,mairie
mairie-62033-01,Mairie - Annay 62033-01,mairie@annaysouslens.fr,"Adresse : Place Roger-Salengro,62880,Annay | Tél : 03 21 13 44 20 | Fax : 03 21 70 35 74",http://www.annaysouslens.fr,mairie
mairie-74010-01,Mairie - Annecy 74010-01,juridique@ville-annecy.fr,"Adresse : Esplanade de l'Hôtel-de-Ville - BP 2305,74011,Annecy Cedex | Tél : 04 50 33 88 88 | Fax : 04 50 33 88 50",http://www.annecy.fr,mairie
mairie-15008-01,Mairie - Antignac 15008-01,mairie.antignac@wanadoo.fr,"Adresse : Le Bourg, 15240, Antignac | Tél : 04 71 40 21 16 | Fax : 04 71 40 24 54",http://www.mairie-antignac.fr,mairie
mairie-31010-01,Mairie - Antignac 31010-01,mairie.antignac31@orange.fr,"Adresse : Avenue de Luchon, 31110,Antignac | Tél : 05 61 79 17 71 | Fax : 05 61 79 17 71",,mairie
mairie-86006-01,Mairie - Antigny 86006-01,antigny@departement86.fr,"Adresse : 42 place de la Mairie,86310,Antigny | Tél : 05 49 48 04 49 | Fax : 05 49 48 44 82",,mairie
mairie-85005-01,Mairie - Antigny 85005-01,antigny85.commune@orange.fr,"Adresse : 26 place de la Mairie,85120,Antigny | Tél : 02 51 51 60 04 | Fax : ",http://www.antigny85.fr,mairie
mairie-60020-01,Mairie - Antilly 60020-01,communedeantilly@orange.fr,"Adresse : 2 place de l'Église,60620,Antilly | Tél : 03 44 87 22 23 | Fax : ",,mairie
mairie-57024-01,Mairie - Antilly 57024-01,mairie.antilly@wibox.fr,"Adresse : 42 rue de Metz,57640,Antilly | Tél : 03 87 77 83 33 | Fax : 03 87 77 83 33",,mairie
mairie-32003-01,Mairie - Antras 32003-01,mairie-antras@wanadoo.fr,"Adresse : Le Bourg,32360,Antras | Tél : 05 62 64 64 90 | Fax : 05 62 64 64 90",,mairie
mairie-09011-01,Mairie - Antras 09011-01,mairieantras@wanadoo.fr,"Adresse : Le Village, 9800, Antras | Tél : 05 34 09 05 41 | Fax : ",,mairie
mairie-60022-01,Mairie - Apremont 60022-01,accueil@mairieapremont.fr,"Adresse : 35 rue Louis-Wallon,60300,Apremont | Tél : 03 44 25 35 14 | Fax : ",http://www.mairie-apremont60.fr,mairie
mairie-85006-01,Mairie - Apremont 85006-01,mairie@apremont85.fr,"Adresse : Le Château,85220,Apremont | Tél : 02 51 55 73 66 | Fax : 02 51 55 42 41",http://www.apremont85.fr,mairie
mairie-08017-01,Mairie - Apremont 08017-01,mairie.apremont-sur-aire@wanadoo.fr,"Adresse : Place de la Mairie, 8250, Apremont | Tél : 03 24 30 29 85 | Fax : ",,mairie
mairie-01011-01,Mairie - Apremont 01011-01,apremont.ain.mairie@wanadoo.fr,"Adresse : 20 rue de la Fruitière, 01100, Apremont | Tél : 04 74 75 50 24 | Fax : ",http://www.apremont-ain.fr,mairie
mairie-73017-01,Mairie - Apremont 73017-01,accueil@mairie-apremont.com,"Adresse : Le Gaz,73190,Apremont | Tél : 04 79 28 33 09 | Fax : 04 79 28 39 44",http://www.mairie-apremont.com,mairie
mairie-70024-01,Mairie - Apremont 70024-01,mairieapremont@wanadoo.fr,"Adresse : 5 rue de la Mairie,70100,Apremont | Tél : 03 84 67 45 12 | Fax : ",,mairie
mairie-21018-01,Mairie - Arcey 21018-01,mairie.arcey@wanadoo.fr,"Adresse : 2 rue d'Amont, 21410, Arcey | Tél : 03 80 23 67 76 | Fax : ",http://www.ouche-montagne.fr,mairie
mairie-25022-01,Mairie - Arcey 25022-01,mairie@arcey.fr,"Adresse : 6 rue des Lilas, 25750, Arcey | Tél : 03 81 93 52 49 | Fax : 03 81 93 42 24",http://www.arcey.fr,mairie
mairie-88011-01,Mairie - Arches 88011-01,maire-arches@wanadoo.fr,"Adresse : 2 rue de la Mairie,88380,Arches | Tél : 03 29 32 72 18 | Fax : 03 29 32 78 42",http://www.mairiearches.fr,mairie
mairie-15010-01,Mairie - Arches 15010-01,mairie.arches@wanadoo.fr,"Adresse : Place du Bourg, 15200, Arches | Tél : 04 71 69 70 64 | Fax : 04 71 69 74 22",,mairie
mairie-39015-01,Mairie - Ardon 39015-01,mairie.ardon39@wanadoo.fr,"Adresse : 11 rue Angillon,39300,Ardon | Tél : 03 84 51 71 17 | Fax : ",,mairie
mairie-45006-01,Mairie - Ardon 45006-01,mairie@ardon45.fr,"Adresse : 121 route de Marcilly-en-Villette,45160,Ardon | Tél : 02 38 45 84 16 | Fax : 02 38 45 84 05",http://www.ardon45.fr,mairie
mairie-40007-01,Mairie - Argelos 40007-01,argelos.mairie@wanadoo.fr,"Adresse : 90 route du Luy-de-France,40700,Argelos | Tél : 05 58 79 00 51 | Fax : 05 58 79 00 51",,mairie
mairie-64043-01,Mairie - Argelos 64043-01,mairie.argelos@wanadoo.fr,"Adresse : Le Bourg,64450,Argelos | Tél : 05 59 04 80 51 | Fax : ",,mairie
mairie-25027-01,Mairie - Arguel 25027-01,mairie.arguel@wanadoo.fr,"Adresse : 8 route de Levier, 25720, Arguel | Tél : 03 81 57 36 25 | Fax : ",http://www.arguel.fr,mairie
mairie-80026-01,Mairie - Arguel 80026-01,arguel.mairie@laposte.net,"Adresse : Impasse du Mont,80140,Arguel | Tél : 03 22 90 17 54 | Fax : ",,mairie
mairie-60023-01,Mairie - Armancourt 60023-01,mairie.armancourt@wanadoo.fr,"Adresse : 2 rue des Vignes-Blanches,60880,Armancourt | Tél : 03 44 83 43 07 | Fax : 03 44 83 71 68",http://www.armancourt.fr,mairie
mairie-80027-01,Mairie - Armancourt 80027-01,mairie-armancourt@laposte.fr,"Adresse : 7 Grande Rue,80700,Armancourt | Tél : 03 22 98 11 16 | Fax : 03 22 87 29 08",,mairie
mairie-18013-01,Mairie - Arpheuilles 18013-01,mairie.darpheuilles@wanadoo.fr,"Adresse : 79 route de la Clouze, 18200, Arpheuilles | Tél : 02 48 63 30 25 | Fax : 02 48 63 35 27",,mairie
mairie-36008-01,Mairie - Arpheuilles 36008-01,com.arph36@wanadoo.fr,"Adresse : 6 place de l'Église,36700,Arpheuilles | Tél : 02 54 38 42 17 | Fax : 02 54 38 42 61",http://www.arpheuilles36.com,mairie
mairie-12010-01,Mairie - Arques 12010-01,mairie-arques@wanadoo.fr,"Adresse : Le Bourg, 12290, Arques | Tél : 05 65 70 66 98 | Fax : 05 65 74 14 01",,mairie
mairie-62040-01,Mairie - Arques 62040-01,mairie@ville-arques.fr,"Adresse : Place Roger-Salengro,62510,Arques | Tél : 03 21 12 62 30 | Fax : 03 21 98 07 69",http://www.ville-arques.fr,mairie
mairie-11015-01,Mairie - Arques 11015-01,mairie@chateau-arques.fr,"Adresse : 4 place de la Mairie, 11190, Arques | Tél : 04 68 69 85 62 | Fax : ",,mairie
mairie-80030-01,Mairie - Arry 80030-01,mairie.arry@orange.fr,"Adresse : 28 rue Joseph-Harent,80120,Arry | Tél : 03 22 25 68 55 | Fax : ",,mairie
mairie-57030-01,Mairie - Arry 57030-01,mairie-arry@orange.fr,"Adresse : 1 Grand'rue,57680,Arry | Tél : 03 87 52 81 12 | Fax : 03 87 52 81 12",,mairie
mairie-16018-01,Mairie - Ars 16018-01,mairie-ars-16@wanadoo.fr,"Adresse : Place de la Mairie, 16130, Ars | Tél : 05 45 82 42 09 | Fax : ",http://www.arsensaintonge.fr,mairie
