#id,name,request_email,notes,home_page,tag_string
mairie-71516-01,Mairie - Serley,mairie.serley@wanadoo.fr,"Adresse : Le Bourg, 71310,Serley | Tél : 03 85 76 12 40 | Fax : 03 85 76 16 75",http://www.serley71.fr,mairie
mairie-71534-01,Mairie - Le Tartre,mairie.letartre@wanadoo.fr,"Adresse : Le Bourg, 71330,Le Tartre | Tél : 09 61 47 44 61 | Fax : 03 85 74 74 90",,mairie
mairie-71535-01,Mairie - Tavernay,mairie.tavernay@wanadoo.fr,"Adresse : 1 rue du Ternin, 71400,Tavernay | Tél : 03 85 54 10 01 | Fax : ",,mairie
mairie-71537-01,Mairie - Thil-sur-Arroux,thil-sur-arroux@wanadoo.fr,"Adresse : Le Bourg, 71190,Thil-sur-Arroux | Tél : 03 85 54 27 33 | Fax : ",,mairie
mairie-71538-01,Mairie - Thurey,thurey.mairie@wanadoo.fr,"Adresse : 12 place de l'Église, 71440,Thurey | Tél : 03 85 72 22 49 | Fax : 03 85 72 22 49",,mairie
mairie-71539-01,Mairie - Tintry,mairie-tintry@wanadoo.fr,"Adresse : Le Bourg, 71490,Tintry | Tél : 03 85 82 19 85 | Fax : ",,mairie
mairie-71542-01,Mairie - Toulon-sur-Arroux,mairie.toulon@wanadoo.fr,"Adresse : Place du Maréchal-de-Lattre-de-Tassigny, 71320,Toulon-sur-Arroux | Tél : 03 85 79 42 55 | Fax : 03 85 79 62 17",http://www.toulon-sur-arroux.fr,mairie
mairie-71543-01,Mairie - Tournus,mairie@tournus.fr,"Adresse : Place de l'Hôtel-de-Ville - BP 79, 71700,Tournus | Tél : 03 85 27 03 20 | Fax : 03 85 27 03 39",http://www.tournus.fr,mairie
mairie-71544-01,Mairie - Toutenant,commune-toutenant@orange.fr,"Adresse : 5 rue du Bourg, 71350,Toutenant | Tél : 03 85 91 51 49 | Fax : 03 85 91 51 49",,mairie
mairie-71545-01,Mairie - Tramayes,mairie.tramayes@wanadoo.fr,"Adresse : 29 rue Neuve, 71520,Tramayes | Tél : 03 85 50 51 18 | Fax : 03 85 50 55 76",http://www.tramayes.fr,mairie
mairie-71546-01,Mairie - Trambly,trambly@wanadoo.fr,"Adresse : 5 rue de la Mairie, 71520,Trambly | Tél : 03 85 50 46 98 | Fax : 03 85 50 40 88",http://www.trambly.com,mairie
mairie-71547-01,Mairie - Trivy,commune.de.trivy@wanadoo.fr,"Adresse : Le Bourg, 71520,Trivy | Tél : 03 85 50 26 49 | Fax : 03 85 50 99 92",http://www.matour-et-region.com,mairie
mairie-71548-01,Mairie - Tronchy,contact@tronchy.fr,"Adresse : 60 rue de la Mairie, 71440,Tronchy | Tél : 03 85 96 41 29 | Fax : 09 72 47 59 43",http://www.tronchy.fr,mairie
mairie-71549-01,Mairie - La Truchère,mairie.latruchere@wanadoo.fr,"Adresse : 1 rue Darbonnay, 71290,La Truchère | Tél : 03 85 51 15 85 | Fax : ",,mairie
mairie-71550-01,Mairie - Uchizy,commune-uchizy@orange.fr,"Adresse : Cours de l'École - Le Bourg, 71700,Uchizy | Tél : 03 85 40 50 20 | Fax : 03 85 40 59 30",http://www.uchizy.fr,mairie
mairie-71551-01,Mairie - Uchon,mairie.uchon@wanadoo.fr,"Adresse : Le Bourg, 71190,Uchon | Tél : 03 85 54 30 78 | Fax : ",,mairie
mairie-71552-01,Mairie - Uxeau,uxeau.mairie@orange.fr,"Adresse : Le Bourg, 71130,Uxeau | Tél : 03 85 85 22 92 | Fax : ",http://www.uxeau.fr,mairie
mairie-71554-01,Mairie - Varenne-l'Arconce,mairie.varenne-l-arconce@wanadoo.fr,"Adresse : Le Bourg, 71110,Varenne-l'Arconce | Tél : 03 85 25 84 23 | Fax : ",,mairie
mairie-71555-01,Mairie - Varennes-le-Grand,varennes.environnement@wanadoo.fr,"Adresse : 1 place de Verdun, 71240,Varennes-le-Grand | Tél : 03 85 44 20 74 | Fax : 03 85 44 29 16",http://www.varenneslegrand.fr,mairie
mairie-71556-01,Mairie - Varennes-lès-Mâcon,mairie.varennes-les-macon@orange.fr,"Adresse : 138 rue Cadot-Laborier, 71000,Varennes-lès-Mâcon | Tél : 03 85 34 70 60 | Fax : 03 85 20 25 42",http://www.varenneslesmacon.fr,mairie
mairie-71557-01,Mairie - Varenne-Saint-Germain,mairie-varenne-st-germain@wanadoo.fr,"Adresse : Le Bourg, 71600,Varenne-Saint-Germain | Tél : 03 85 84 93 97 | Fax : ",,mairie
mairie-71558-01,Mairie - Varennes-Saint-Sauveur,mairie.varennesstsauveur@wanadoo.fr,"Adresse : 199 rue Centrale, 71480,Varennes-Saint-Sauveur | Tél : 03 85 60 10 75 | Fax : 03 85 60 10 76",http://www.varennes-saint-sauveur.fr,mairie
mairie-71559-01,Mairie - Varennes-sous-Dun,mairie.varennes-s-dun@wanadoo.fr,"Adresse : Le Bourg, 71800,Varennes-sous-Dun | Tél : 03 85 28 06 72 | Fax : 03 85 26 87 95",,mairie
mairie-71561-01,Mairie - Vauban,mairie.vauban@wanadoo.fr,"Adresse : Le Bourg, 71800,Vauban | Tél : 03 85 25 88 11 | Fax : 03 85 25 88 11",,mairie
mairie-71562-01,Mairie - Vaudebarrier,vaudebarrier.commune@wanadoo.fr,"Adresse : Le Bourg, 71120,Vaudebarrier | Tél : 03 85 24 04 68 | Fax : 03 85 24 04 68",http://vaudebarrier.reseaudesmicrocommunes.fr,mairie
mairie-71563-01,Mairie - Vaux-en-Pré,mairievauxenpre@wanadoo.fr,"Adresse : 12 route de Genouilly, 71460,Vaux-en-Pré | Tél : 03 85 92 54 47 | Fax : ",,mairie
mairie-71564-01,Mairie - Vendenesse-lès-Charolles,mairie.vendenesse.les.ch@wanadoo.fr,"Adresse : Le Bourg, 71120,Vendenesse-lès-Charolles | Tél : 03 85 24 04 76 | Fax : 03 85 88 37 78",http://www.vendenesse-les-charolles.fr,mairie
mairie-71565-01,Mairie - Vendenesse-sur-Arroux,vendenesse.sur.arroux@wanadoo.fr,"Adresse : Le Bourg, 71130,Vendenesse-sur-Arroux | Tél : 03 85 85 00 04 | Fax : ",http://www.vendenesse-sur-arroux.fr,mairie
mairie-71566-01,Mairie - Verdun-sur-le-Doubs,mairieverdunsurledoubs@orange.fr,"Adresse : Place de l'Hôtel-de-Ville, 71350,Verdun-sur-le-Doubs | Tél : 03 85 91 52 52 | Fax : 03 85 91 90 91",http://www.verdunsurledoubs.fr,mairie
mairie-71567-01,Mairie - Vergisson,mairie-vergisson@wanadoo.fr,"Adresse : 2 place de la Mairie, 71960,Vergisson | Tél : 03 85 35 83 96 | Fax : ",http://www.vergisson.fr,mairie
mairie-71568-01,Mairie - Vérissey,mairie.verissey@wanadoo.fr,"Adresse : 2 le Bourg, 71440,Vérissey | Tél : 03 85 76 53 51 | Fax : 03 85 76 53 51",,mairie
mairie-71570-01,Mairie - Verjux,mairie.verjux@wanadoo.fr,"Adresse : Place de la Mairie, 71590,Verjux | Tél : 03 85 91 68 40 | Fax : 03 85 49 43 31",http://www.commune-verjux.fr,mairie
mairie-71571-01,Mairie - Verosvres,mairie.verosvres@orange.fr,"Adresse : Le Bourg, 71220,Verosvres | Tél : 03 85 24 80 72 | Fax : 03 85 24 86 34",,mairie
mairie-71573-01,Mairie - Versaugues,mairie-versaugues@orange.fr,"Adresse : Le Bourg, 71110,Versaugues | Tél : 03 85 25 00 87 | Fax : ",http://www.versaugues.fr,mairie
mairie-71574-01,Mairie - Verzé,mairie@verze.fr,"Adresse : 122 route de la Roche-Vineuse, 71960,Verzé | Tél : 03 85 33 31 83 | Fax : 03 85 50 01 87",http://www.verze.fr,mairie
mairie-71576-01,Mairie - Le Villars,mairie.levillars71@orange.fr,"Adresse : 1 place de l'Église, 71700,Le Villars | Tél : 03 85 51 00 57 | Fax : 03 85 51 00 57",http://www.mairie-levillars71.fr,mairie
mairie-71577-01,Mairie - Villegaudin,communedevillegaudin@wanadoo.fr,"Adresse : Le Bourg, 71620,Villegaudin | Tél : 03 85 47 79 67 | Fax : 03 85 47 79 67",,mairie
mairie-71578-01,Mairie - Clux-Villeneuve,mairie.clux-villeneuve@orange.fr,"Adresse : 23 voie Romaine, 71270,Clux-Villeneuve | Tél : 03 85 49 14 22 | Fax : ",http://www.clux-villeneuve.fr,mairie
mairie-71579-01,Mairie - Villeneuve-en-Montagne,villeneuve.en.montagne@wanadoo.fr,"Adresse : Le Bourg, 71390,Villeneuve-en-Montagne | Tél : 03 85 96 99 52 | Fax : ",http://www.villeneuve-en-montagne.fr,mairie
mairie-71581-01,Mairie - Vindecy,mairie-vindecy@wanadoo.fr,"Adresse : Le Bourg, 71110,Vindecy | Tél : 03 85 25 04 48 | Fax : 03 85 25 04 48",http://www.vindecy.fr,mairie
mairie-71582-01,Mairie - La Vineuse sur Fregande,mairie.lavineuse@wanadoo.fr,"Adresse : La Vineuse - Le Bourg, 71250,La Vineuse sur Fregande | Tél : 03 85 59 62 35 | Fax : ",,mairie
mairie-71582-02,Mairie déléguée - Donzy-le-National,mairie-donzy-le-nal@orange.fr,"Adresse : Donzy-le-National - Le Bourg, 71250,La Vineuse sur Fregande | Tél : 03 85 59 60 48 | Fax : 03 85 59 60 84",,mairie
mairie-71582-03,Mairie déléguée - Massy,mairie.massy.sl@wanadoo.fr,"Adresse : Sous-Roche - Massy, 71250,La Vineuse sur Fregande | Tél : 03 85 59 49 69 | Fax : ",,mairie
mairie-71582-04,Mairie déléguée - Vitry-lès-Cluny,mairiedevitrylescluny@wanadoo.fr,"Adresse : Le Bourg - Vitry-lès-Cluny, 71250,La Vineuse sur Fregande | Tél : 03 85 59 41 58 | Fax : ",,mairie
mairie-71584-01,Mairie - Viré,mairie@vire-en-maconnais.fr,"Adresse : 3 place du Tertre, 71260,Viré | Tél : 03 85 27 95 05 | Fax : 03 85 27 95 09",http://vireenmaconnais.fr,mairie
mairie-71585-01,Mairie - Virey-le-Grand,virey-mairie@wanadoo.fr,"Adresse : 2 place François-Droux, 71530,Virey-le-Grand | Tél : 03 85 45 73 04 | Fax : 03 85 45 77 86",http://www.virey-le-grand.fr,mairie
mairie-71588-01,Mairie - Vitry-en-Charollais,mairie.vitryencharollais@wanadoo.fr,"Adresse : 1 rue de la Mairie, 71600,Vitry-en-Charollais | Tél : 03 85 81 14 40 | Fax : 03 85 81 48 07",http://www.vitry-en-charollais.fr,mairie
mairie-71589-01,Mairie - Vitry-sur-Loire,mairie.vitry.loire@wanadoo.fr,"Adresse : 6 Grand'rue, 71140,Vitry-sur-Loire | Tél : 03 85 84 71 15 | Fax : 03 85 84 73 97",,mairie
mairie-71590-01,Mairie - Volesvres,mairiedevolesvres@orange.fr,"Adresse : 24 route des Boutons-d'Or, 71600,Volesvres | Tél : 03 85 81 06 37 | Fax : ",http://www.volesvres.fr,mairie
mairie-71591-01,Mairie - Fleurville,mairie.fleurville@wanadoo.fr,"Adresse : Rue Saint-Exupéry, 71260,Fleurville | Tél : 03 85 33 13 72 | Fax : 03 85 33 94 55",http://communedefleurville.e-monsite.com,mairie
maison_handicapees-71076-01,Maison départementale des personnes handicapées (MDPH) - Saône-et-Loire - Antenne de Chalon-sur-Saône,mla71chalon@cg71.fr,"Adresse : 52 rue Pierre-Deliry, 71100,Chalon-sur-Saône | Tél : 03 85 98 28 06 | Fax : 03 85 41 60 23",http://www.cg71.fr,maison_handicapees
maison_handicapees-71153-01,Maison départementale des personnes handicapées (MDPH) - Saône-et-Loire - Antenne du Creusot,mdph@cg71.fr,"Adresse : Maison locale de l'autonomie - 2 avenue de Verdun, 71200,Le Creusot | Tél : 03 85 77 97 80 | Fax : 03 85 55 80 76",http://www.cg71.fr,maison_handicapees
maison_handicapees-71270-01,Maison départementale des personnes handicapées (MDPH) - Saône-et-Loire - Siège de Mâcon,mdph@cg71.fr,"Adresse : Espace Duhesme - 18 rue de Flacé, 71026,Mâcon Cedex 9 | Tél : 03 85 21 51 30 | Fax : 03 85 21 51 31",http://www.cg71.fr,maison_handicapees
maison_handicapees-71342-01,Maison départementale des personnes handicapées (MDPH) - Saône-et-Loire - antenne de Paray-le-Monial,mdph@cg71.fr,"Adresse : Maison départementale des solidarités - 2 rue de la Poste, 71600,Paray-le-Monial | Tél : 03 85 81 61 01 | Fax : 03 85 81 16 93",http://www.saoneetloire71.fr,maison_handicapees
mission_locale-71014-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Autun,contact@cilef.fr,"Adresse : 1 rue des Pierres, 71400,Autun | Tél : 03 85 86 51 92 | Fax : 03 85 52 51 93",http://www.cilef-orientation-emploi.fr,mission_locale
mission_locale-71047-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Bourbon-Lancy,anne.pouviaud@milobfc.fr,"Adresse : Château Sarrien - Avenue Charles-de-Gaulle, 71140,Bourbon-Lancy | Tél : 03 85 89 19 51 | Fax : ",http://www.missionslocales-bfc.fr,mission_locale
mission_locale-71076-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Chalon-sur-Saône,milochalonnais@milobfc.fr,"Adresse : Espace Jean-Zay - 4 rue Jules-Ferry, 71100,Chalon-sur-Saône | Tél : 03 85 93 47 59 | Fax : 03 85 93 63 70",http://www.missionlocaleduchalonnais.fr,mission_locale
mission_locale-71106-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Charolles,sylvie.bouley@milobfc.fr,"Adresse : 1 quai de la Poterne, 71120,Charolles | Tél : 03 85 24 20 78 | Fax : ",,mission_locale
mission_locale-71153-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Le Creusot,accueil.creusot@agire-cucm.fr,"Adresse : Association Agire - Espace Bernard-Loiseau - 28 rue Chanzy, 71200,Le Creusot | Tél : 03 85 77 68 01 | Fax : 03 85 80 40 23",http://www.agire-cucm.fr,mission_locale
mission_locale-71176-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Digoin,mlcharolais@milobfc.fr,"Adresse : Maison de la formation et de l'insertion - Rue de la Plaine - CM71, 71160,Digoin | Tél : 03 85 88 52 16 | Fax : ",,mission_locale
mission_locale-71230-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Gueugnon (Charolais),mlcharolais@milobfc.fr,"Adresse : Relais emploi - 47 rue de la Convention, 71130,Gueugnon | Tél : 03 85 85 49 30 | Fax : 03 85 85 56 37",,mission_locale
mission_locale-71263-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Louhans (La Bresse-Louhannaise),milobresselouhannaise@milobfc.fr,"Adresse : 4 promenade des Cordeliers, 71500,Louhans | Tél : 03 85 74 91 00 | Fax : ",,mission_locale
mission_locale-71270-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Mâcon,milomaconnais@milobfc.fr,"Adresse : 01000 avenue du Maréchal-de-Lattre-de-Tassigny, 71000,Mâcon | Tél : 03 85 39 95 00 | Fax : 03 85 38 23 04",http://www.missions-locales-bourgogne.fr,mission_locale
mission_locale-71342-01,Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Paray-le-Monial,mlcharolais@milobfc.fr,"Adresse : 51 avenue Charles-de-Gaulle, 71600,Paray-le-Monial | Tél : 03 85 81 68 58 | Fax : 03 85 88 32 76",,mission_locale
mjd-71270-01,Maison de justice et du droit  de Mâcon,mjd-macon@justice.fr,"Adresse : 155 avenue de Gaulle, 71017,MACON CEDEX | Tél : 03 85 21 90 83 | Fax : 03 85 38 14 75",http://www.justice.gouv.fr/,mjd
msap-71120-01,Maison de services au public - Chauffailles,francine.demeslay@pimms.org,"Adresse : Point information médiation multi-services - Place de la Gare, 71170,Chauffailles | Tél : 03 85 24 29 50 | Fax : ",https://www.maisondeservicesaupublic.fr/content/pimms-de-chauffailles,msap
msap-71137-01,Maison de services au public - Cluny,contact@enclunisois.com,"Adresse : 5 place du Marché, 71250,Cluny | Tél : 03 85 20 00 11 | Fax : ",https://www.maisondeservicesaupublic.fr/content/clunisois,msap
msap-71187-01,Maison de services au public - Écuisses,mairie.ecuisses@wanadoo.fr,"Adresse : Rue du 19-Mars-01962, 71210,Écuisses | Tél : 03 85 78 92 66 | Fax : ",https://www.maisondeservicesaupublic.fr/content/ecuisses,msap
msap-71190-01,Maison de services au public - Épinac,veronique.rossi-cotella@grandautunoismorvan.fr,"Adresse : Place Charles-de-Gaulle, 71360,Épinac | Tél : 03 85 82 10 12 | Fax : ",https://www.maisondeservicesaupublic.fr/content/epinac,msap
msap-71192-01,Maison de services au public - Étang-sur-Arroux,jean-Louis.souchet@grandautunoismorvan.fr,"Adresse : Pôle de proximité - 2 bis rue d'Autun, 71190,Étang-sur-Arroux | Tél : 03 85 82 38 14 | Fax : ",https://www.maisondeservicesaupublic.fr/content/pole-de-proximite-etang-sur-arroux,msap
msap-71289-01,Maison de services au public - Matour,msap71520@gmail.com,"Adresse : Haute-Grosne - Maison des associations n°4, 71520,Matour | Tél : 06 77 30 29 81 | Fax : ",https://www.maisondeservicesaupublic.fr/content/haute-grosne,msap
msap-71295-01,Maison de services au public - Mervans,msap.mervans@laposte.fr,"Adresse : Bureau de poste - Place de la Mairie, 71310,Mervans | Tél : | Fax : ",https://www.maisondeservicesaupublic.fr/content/mervans-bureau-de-poste,msap
msap-71318-01,Maison de services au public - Sainte-Croix,rspstecroix@laposte.net,"Adresse : 180 route du Bourg, 71470,Sainte-Croix | Tél : 03 85 74 36 32 | Fax : ",https://www.maisondeservicesaupublic.fr/content/sainte-croix,msap
msap-71380-01,Maison de services au public - Saillenard,msap.saillenard@orange.fr,"Adresse : 136 rue de l'Église, 71580,Saillenard | Tél : 03 85 72 38 71 | Fax : ",https://www.maisondeservicesaupublic.fr/content/saillenard,msap
msap-71394-01,Maison de services au public - Saint-Bonnet-de-Joux,pimmsvaldejoux@pimms.org,"Adresse : Place de la Poste - Route de Charolles, 71220,Saint-Bonnet-de-Joux | Tél : 03 85 70 93 26 | Fax : ",https://www.maisondeservicesaupublic.fr/content/pimms-val-de-joux,msap
msap-71410-01,Maison de services au public - Saint-Étienne-en-Bresse,rsp.st.etienne.en.bresse@orange.fr,"Adresse : 17 place de la Mairie, 71370,Saint-Étienne-en-Bresse | Tél : 03 85 96 41 18 | Fax : ",https://www.maisondeservicesaupublic.fr/content/saint-etienne-en-bresse,msap
msap-71419-01,Maison de services au public - Saint-Germain-du-Bois,mairie-71330-saint-germain-du-bois@wanadoo.fr,"Adresse : 14 place du Marché, 71330,Saint-Germain-du-Bois | Tél : 03 85 72 01 47 | Fax : ",https://www.maisondeservicesaupublic.fr/content/saint-germain-du-bois,msap
msap-71442-01,Maison de services au public - Saint-Léger-sur-Dheune,ccmv-rsp@orange.fr,"Adresse : 7 rue Thernaud, 71510,Saint-Léger-sur-Dheune | Tél : 03 85 87 61 22 | Fax : ",https://www.maisondeservicesaupublic.fr/content/st-leger-sur-dheune,msap
msap-71479-01,Maison de services au public - Saint-Sernin-du-Bois,servicesgeneraux@mairiesaintsernindubois.fr,"Adresse : Place Salignac-Fénelon, 71200,Saint-Sernin-du-Bois | Tél : 03 85 55 35 08 | Fax : ",https://www.maisondeservicesaupublic.fr/content/saint-sernin-du-bois,msap
msap-71507-01,Maison de services au public - Savigny-sur-Grosne,m.blanchedeau.ccgmsv@orange.fr,"Adresse : Communauté de communes entre Saône et Grosne - 1 route des Prairies, 71460,Savigny-sur-Grosne | Tél : 03 85 96 00 37 | Fax : ",https://www.maisondeservicesaupublic.fr/content/communaute-de-communes-entre-saone-et-grosne,msap
msap-71512-01,Maison de services au public - Sennecey-le-Grand,msap.sennecey@orange.fr,"Adresse : 32 rue des Mûriers, 71240,Sennecey-le-Grand | Tél : 03 85 44 99 28 | Fax : ",https://www.maisondeservicesaupublic.fr/content/sennecey-le-grand,msap
msap-71542-01,Maison de services au public - Toulon-sur-Arroux,moulin-des-roches@wanadoo.fr,"Adresse : Moulin des Roches - Rue du Moulin, 71320,Toulon-sur-Arroux | Tél : 03 85 79 56 36 | Fax : ",https://www.maisondeservicesaupublic.fr/content/moulin-des-roches,msap
msap-71566-01,Maison de services au public - Verdun-sur-le-Doubs,ccsaonedoubsbresse@orange.fr,"Adresse : Communauté de communes Saône Doubs Bresse - 16 rue de la République, 71350,Verdun-sur-le-Doubs | Tél : 03 89 91 66 16 | Fax : ",https://www.maisondeservicesaupublic.fr/content/communaute-de-communes-saone-doubs-bresse,msap
onac-71270-01,Office national des anciens combattants et victimes de guerre (ONACVG) - Service départemental - Saône-et-Loire,sec.sd71@onacvg.fr,"Adresse : Cité administrative - 24 boulevard Henri-Dunant, 71000,Mâcon | Tél : 03 85 22 56 40 | Fax : 03 85 38 46 79",https://www.onac-vg.fr,onac
paierie_departementale-71270-02,Paierie départementale - Saône-et-Loire,t071090@dgfip.finances.gouv.fr,"Adresse : CS60225 - Cite administrative - 24 boulevard Henri-Dunant, 71025,Mâcon Cedex | Tél : 03 85 21 11 80 | Fax : ",http://www.impots.gouv.fr,paierie_departementale
permanence_juridique-71014-01,Point d'accès au droit d'Autun,adad-chalon@orange.fr,"Adresse : Centre social Saint-Jean - 22 rue Naudin, 71400,AUTUN | Tél : 06 40 48 52 86 | Fax : ",,permanence_juridique
permanence_juridique-71047-01,Point d'accès au droit de Bourbon-Lancy,adad.macon@orange.fr,"Adresse : Hotel de ville - place de la Mairie, 71140,BOURBON LANCY | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
permanence_juridique-71076-01,Point d'accès au droit de CHALON SUR SAONE,adad-chalon@orange.fr,"Adresse : Maison de la Justice et du Droit - 5, place de l'Obélisque, 71100,CHALON SUR SAONE | Tél : 03 85 90 87 80 | Fax : ",,permanence_juridique
permanence_juridique-71106-01,Point d'accès au droit de Charolles,adad.macon@orange.fr,"Adresse : 15, rue CHAMPAGNY, 71120,CHAROLLES | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
permanence_juridique-71120-01,Point d'accès au droit de Chauffailles,adad.macon@orange.fr,"Adresse : Maison du Canton - locaux de l'ANPE - 4 rue Elie Maurette, 71170,CHAUFFAILLES | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
permanence_juridique-71137-01,Point d'accès au droit de Cluny,adad.macon@orange.fr,"Adresse : Salle des Griottons, rue des Griottons, 71250,CLUNY | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
permanence_juridique-71153-01,Point d'accès au droit de Le Creusot,adad-chalon@orange.fr,"Adresse : Centre social LEscale - Promenade du Midi, 71200,LE CREUSOT | Tél : 06 40 48 52 86 | Fax : ",,permanence_juridique
permanence_juridique-71176-01,Point d'accès au droit de Digoin,adad.macon@orange.fr,"Adresse : Maison de la Formation - 10 rue Maynaud de Bisefranc, 71160,DIGOIN | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
permanence_juridique-71230-01,Point d'accès au droit de Gueugnon,adad.macon@orange.fr,"Adresse : Maison des Associations - 47 rue de la Convention, 71130,GUEUGNON | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
permanence_juridique-71263-01,Point d'accès au droit de Louhans,adad-chalon@orange.fr,"Adresse : Mairie - 1 rue des Bordes, 71500,LOUHANS | Tél : 06 40 48 52 86 | Fax : ",,permanence_juridique
permanence_juridique-71270-01,Pont d'accès au droit de MACON,adad.macon@orange.fr,"Adresse : Maison de Justice et du Droit - 01550 avenue Charles de Gaulle, 71000,MACON | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
permanence_juridique-71270-02,Pont d'accès au droit détenus,adad.macon@orange.fr,"Adresse : Maison de justice et du droit - 01550 avenue Charles de Gaulle, 71000,MACON | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
permanence_juridique-71306-01,Point d'accès au droit de Montceau-Les-Mines,adad-chalon@orange.fr,"Adresse : Centre social Le Trait dUnion - 7 rue de Mâcon, 71300,MONTCEAU LES MINES | Tél : 06 40 48 52 86 | Fax : ",,permanence_juridique
permanence_juridique-71543-01,Point d'accès au droit de Tournus,adad-macon@orange.fr,"Adresse : Espace CHANAY - 1, rue de CHANAY, 71700,TOURNUS | Tél : 06 40 48 40 23 | Fax : ",,permanence_juridique
pif-71014-01,Point info famille - Autun,kiosquefamille@cc-autunois.fr,"Adresse : 22 rue Naudin, 71400,Autun | Tél : 03 85 54 38 99 | Fax : 03 85 86 31 20",,pif
pif-71230-01,Point info famille - Gueugnon,point-info-famille@gueugnon.net,"Adresse : Immeuble administratif - Quai de lEurope, 71130,Gueugnon | Tél : 03 85 85 57 60 | Fax : 03 85 85 50 61",,pif
pif-71238-01,Point info famille - Iguerande,iguerande.abise@wanadoo.fr,"Adresse : Maison d'accueil, 71340,Iguerande | Tél : 03 85 25 27 54 | Fax : 03 85 84 00 34",,pif
pif-71289-01,Point info famille - Matour,maison.des.familles@torcy71.fr,"Adresse : Maison des associations, 71520,Matour | Tél : 03 85 59 76 58 | Fax : ",,pif
