#id,name,request_email,publication_scheme,home_page,tag_string,notes
14467,Caisse d'allocations familiales (Caf) de l'Ain - siège de Bourg-en-Bresse,"",,https://www.caf.fr,"","4 rue Aristide-Briand - CS 50314,1014,Bourg-en-Bresse Cedex- Tél : 08 10 25 01 10 / Numéro violet : service payant + prix d’un appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax : 04 74 45 60 90"
14468,Caisse d'allocations familiales (Caf) de l'Ain - accueil d'Oyonnax,"",,https://www.caf.fr,"","15 rue Michelet,1100,Oyonnax- Tél : 08 10 25 01 10 / Numéro violet : service payant + prix d’un appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax :"
14469,Caisse d'allocations familiales (Caf) de l'Ain - accueil de Saint-Genis-Pouilly,"",,https://www.caf.fr,"","Cité administrative Simone-Veil - 62 rue de Genève,1630,Saint-Genis-Pouilly- Tél : 08 10 25 01 10 / Numéro violet : service payant + prix d’un appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax :"
14470,Caisse d'allocations familiales (Caf) de l'Ain - accueil de Saint-Maurice-de-Beynost,"",,https://www.caf.fr,"","Centre de paiement de la caisse primaire d'assurance maladie - 14 rue Honoré-de-Balzac,1700,Saint-Maurice-de-Beynost- Tél : 08 10 25 01 10 / Numéro violet : service payant + prix d’un appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax :"
14471,Cap emploi - Ain,"",,,"","1 avenue Jean-Marie Verne - Handicap emploi 01,1000,Bourg-en-Bresse- Tél : 04 74 47 20 90- Fax : 04 74 23 78 05"
14472,Chambre de commerce et d'industrie (CCI) - Ain,dada@where.tf,,http://www.ain.cci.fr,"","1 rue Joseph-Bernier - CS 60048,1002,Bourg-en-Bresse Cedex- Tél : 04 74 32 13 00- Fax : 04 74 21 42 63"
14473,Centre de gestion de la fonction publique territoriale - Ain,dada@where.tf,,http://www.cdg01.fr,"","145 chemin de Bellevue,1960,Péronnas- Tél : 04 74 32 13 81- Fax : 04 74 21 76 44"
14474,Centre des impôts foncier de Bourg-en-Bresse,dada@where.tf,,http://www.impots.gouv.fr,"","5 rue de la Grenouillère - BP 80418,1012,Bourg-en-Bresse Cedex- Tél : 04 74 45 77 00- Fax : 04 74 45 86 08"
14475,Centre des impôts foncier de Nantua,"",,http://www.impots.gouv.fr,"","8 rue des Monts-d'Ain - BP 8,1130,Nantua- Tél : 04 74 75 97 30- Fax : 04 74 75 14 51"
14476,Centre des impôts foncier de Trévoux,"",,http://www.impots.gouv.fr,"","Passage du Banneret - BP 612,1606,Trévoux Cedex- Tél : 04 74 00 94 56- Fax :"
14477,Centre pénitentiaire de Bourg-en-Bresse,"",,,"","20 chemin de la Providence - BP 90321,1011,BOURG EN BRESSE CEDEX- Tél : 04 26 16 10 00- Fax : 04 74 24 61 58"
14478,Conseil départemental - Ain,"",,http://www.ain.fr,"","Hôtel du département - 45 avenue Alsace-Lorraine,1000,Bourg-en-Bresse- Tél : 04 74 32 32 32- Fax : 04 74 32 32 00"
14479,Chambre d'agriculture - Ain,dada@where.tf,,http://www.synagri.com,"","4 avenue du Champ-de-Foire - BP 84,1003,Bourg-en-Bresse Cedex- Tél : 04 74 45 47 43- Fax : 04 74 45 47 00"
14480,Chambre de métiers et de l'artisanat (CMA) - Ain,dada@where.tf,,http://www.cma-ain.fr,"","102 boulevard Édouard-Herriot - BP 123,1004,Bourg-en-Bresse- Tél : 04 74 47 49 00- Fax : 04 74 47 49 69"
14481,Centre d'information de conseil et d'accueil des salariés (Cicas) - Ain,"",,https://www.agirc-arrco.fr,"","27 rue des Bons-Enfants,1000,Bourg-en-Bresse- Tél : 08 20 20 01 89 / Numéro violet : service payant + prix d’un appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax :"
14482,Centre d'information sur les droits des femmes et des familles (CIDFF) - Ain,dada@where.tf,,http://www.cidff01.fr,"","100 place Louis-Blériot,1000,Bourg-en-Bresse- Tél : 04 74 22 39 64- Fax :"
14483,Point information jeunesse - Belley,dada@where.tf,,,"","170 avenue Paul-Chastel,1300,Belley- Tél : 04 79 81 26 56- Fax : 04 79 81 29 04"
14484,Bureau information jeunesse - Bourg-en-Bresse,dada@where.tf,,http://www.jeunes01.fr,"","8 boulevard de Brou,1000,Bourg-en-Bresse- Tél : 04 74 24 43 45- Fax :"
14485,Centre d’information et d’orientation (CIO) - Ambérieu-en-Bugey,dada@where.tf,,http://www2.ac-lyon.fr/orientation/ain/amberieu/,"","Rue Marcel-Paul - BP 512,1505,Ambérieu-en-Bugey Cedex- Tél : 04 74 38 33 46- Fax :"
14486,Centre d’information et d’orientation (CIO) - Bellegarde-sur-Valserine,dada@where.tf,,http://bellegarde.cio.ac-lyon.fr,"","12 rue Joliot-Curie - BP 612,1206,Bellegarde-sur-Valserine- Tél : 04 50 56 06 13- Fax : 04 50 56 92 52"
14487,Centre d’information et d’orientation (CIO) - Belley,dada@where.tf,,,"","Ilôt Grammont - 56 rue du Lieutenant-Argenton,1300,Belley- Tél : 04 79 81 08 65- Fax :"
14488,Centre d’information et d’orientation (CIO) - Bourg-en-Bresse,dada@where.tf,,http://bourg.cio.ac-lyon.fr/spip/,"","34 rue du Général-Delestraint,1000,Bourg-en-Bresse- Tél : 04 74 21 34 08- Fax :"
14489,Centre d’information et d’orientation (CIO) - Oyonnax,dada@where.tf,,http://www.ac-lyon.fr,"","22 rue Victor-Hugo,1100,Oyonnax- Tél : 04 74 77 94 22- Fax : 04 74 73 47 06"
14490,Centre d’information et d’orientation (CIO) - Trévoux,dada@where.tf,,http://www.ac-lyon.fr,"","627 route de Jassans,1600,Trévoux- Tél : 04 74 08 97 59- Fax : 04 74 08 97 61"
14491,Commission d'indemnisation des victimes d'infractions de Belley,"",,,"","Palais de Justice - boulevard Mail,1300,BELLEY- Tél : 04 79 81 23 09- Fax :"
14492,Commission d'indemnisation des victimes d'infractions de Bourg-En-Bresse,"",,,"","Palais de Justice - 4 rue du Palais,1011,BOURG EN BRESSE CEDEX- Tél : 04 74 24 19 53- Fax :"
14493,Point d'information local dédié aux personnes âgées - Ambérieu-en-Bugey,dada@where.tf,,http://www.clic-plainedelain.fr,"","Centre local d'information et de coordination - La Plaine-de-l'Ain - 46 rue Gustave-Noblemaire,1500,Ambérieu-en-Bugey- Tél : 04 74 46 19 04- Fax :"
14494,Point d'information local dédié aux personnes âgées - Bellegarde-sur-Valserine,dada@where.tf,,https://www.ccpb01.fr/clic,"","Pôle seniors santé habitat - 5 rue des Papetiers,1200,Bellegarde-sur-Valserine- Tél : 04 50 48 71 64- Fax :"
14495,Point d'information local dédié aux personnes âgées - Belley,dada@where.tf,,http://www.paysdubugey.fr/france/DT1309955234/page/Service-aux-personnes-agees--le-CLIC-du-Pays-du-Bugey.html,"","Centre local d'information et de coordination du Pays du Bugey - 55 Grande rue - BP 77,1300,Belley- Tél : 04 79 87 24 23- Fax :"
14496,Point d'information local dédié aux personnes âgées - Bourg-en-Bresse,dada@where.tf,,http://www.adag01.fr,"","Centre local d'information et de coordination ADAG 01 - 11 rue Aristide-Briand,1000,Bourg-en-Bresse- Tél : 04 74 22 11 11- Fax : 04 74 22 14 29"
14497,Point d'information local dédié aux personnes âgées - Châtillon-sur-Chalaronne,dada@where.tf,,,"","Centre local d'information et de coordination des 3 Cantons - EHPAD public La Montagne - 114 route de Relevant,1400,Châtillon-sur-Chalaronne- Tél : 04 74 55 15 39- Fax :"
14498,Point d'information local dédié aux personnes âgées - Chevry,dada@where.tf,,http://www.cc-pays-de-gex.fr,"","Centre local d'information et de coordination - Pays-de-Gex - Les Terrasses de Chevry - Bâtiment D - 29 rue Saint-Maurice,1170,Chevry- Tél : 04 50 41 04 04- Fax : 09 72 23 65 64"
14499,Point d'information local dédié aux personnes âgées - Oyonnax,dada@where.tf,,,"","Centre local d'information et de coordination du Haut-Bugey - 10 rue de l'Orme,1100,Oyonnax- Tél : 04 74 75 67 79- Fax :"
14500,Point d'information local dédié aux personnes âgées - Saint-Trivier-de-Courtes,dada@where.tf,,http://www.clicdespaysdebresse.org,"","Centre local d'information et de coordination des pays de Bresse - 58 route de Chalon,1560,Saint-Trivier-de-Courtes- Tél : 04 74 30 78 24- Fax :"
14501,Point d'information local dédié aux personnes âgées - Villars-les-Dombes,dada@where.tf,,,"","Centre local d'information et de coordination Dombes-Saône - 37 rue du Collège,1330,Villars-les-Dombes- Tél : 04 74 98 39 29- Fax :"
14502,Centre national de la fonction publique territoriale (CNFPT) - Antenne départementale - Ain,dada@where.tf,,http://www.cnfpt.fr,"","Maison des communes - 119 chemin Bellevue,1960,Péronnas- Tél : 04 37 62 11 60- Fax :"
14503,Commissariat de police de Bourg-en-Bresse,"",,http://www.police-nationale.interieur.gouv.fr,"","4 rue des Remparts,1000,Bourg-en-Bresse- Tél : 04 74 47 20 20 / appeler le 17 en cas d'urgence- Fax :"
14504,Commissariat de police d'Oyonnax,"",,http://www.police-nationale.interieur.gouv.fr,"","41 boulevard Dupuy,1100,Oyonnax- Tél : 04 74 77 47 33 / appeler le 17 en cas d'urgence- Fax : 04 74 73 97 45"
14505,Commission départementale de conciliation - Ain,dada@where.tf,,http://www.ain.gouv.fr,"","9, rue de la Grenouillère - CS 60425,1012,Bourg-en-Bresse Cedex- Tél : 04 74 32 55 32- Fax : 04 74 32 55 34"
14506,Caisse primaire d'assurance maladie (CPAM) de l'Ain - accueil d'Ambérieu-en-Bugey,"",,https://www.ameli.fr,"","46 rue Aristide-Briand,1500,Ambérieu-en-Bugey- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 281- Fax :"
14507,Caisse primaire d'assurance maladie (CPAM) de l'Ain - accueil de Bellegarde-sur-Valserine,"",,https://www.ameli.fr,"","8 rue Zéphirin-Jeantet,1200,Bellegarde-sur-Valserine- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 282- Fax :"
14508,Caisse primaire d'assurance maladie (CPAM) de l'Ain - accueil de Belley,"",,https://www.ameli.fr,"","Ilot Baudin - Rue du Mail,1300,Belley- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 283- Fax :"
14509,Caisse primaire d'assurance maladie (CPAM) de l'Ain - siège de Bourg-en-Bresse,"",,https://www.ameli.fr,"","1 place de la Grenouillère,1015,Bourg-en-Bresse Cedex- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 65- Fax :"
14510,Caisse primaire d'assurance maladie (CPAM) de l'Ain - accueil de Hauteville-Lompnes,"",,https://www.ameli.fr,"","54 rue Henriette-d'Angeville,1110,Hauteville-Lompnes- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 284- Fax :"
14511,Caisse primaire d'assurance maladie (CPAM) de l'Ain - accueil de Jassans-Riottier,"",,https://www.ameli.fr,"","Rue de Beaurivage,1480,Jassans-Riottier- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 285- Fax :"
14512,Caisse primaire d'assurance maladie (CPAM) de l'Ain - accueil d'Oyonnax,"",,https://www.ameli.fr,"","188 rue Anatole-France,1100,Oyonnax- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 286- Fax :"
14513,Caisse primaire d'assurance maladie (CPAM) de l'Ain - accueil de Saint-Genis-Pouilly,"",,https://www.ameli.fr,"","62 rue de Genève,1630,Saint-Genis-Pouilly- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 287- Fax :"
14514,Caisse primaire d'assurance maladie (CPAM) de l'Ain - accueil de Saint-Maurice-de-Beynost,"",,https://www.ameli.fr,"","14 rue Honoré-de-Balzac,1700,Saint-Maurice-de-Beynost- Tél : 3646 / Numéro violet ou majoré : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel) ; Depuis l’étranger, composez le +33 811 70 36 288- Fax :"
14515,Centre de ressources et d'information des bénévoles (Crib) - Comité départemental olympique et sportif de l'Ain,dada@where.tf,,http://www.cdos01.com,"","14 rue de la Grenouillère,10000,Bourg-en-Bresse- Tél : 04 74 45 11 27- Fax : 04 74 24 60 18"
14516,Centre de ressources et d'information des bénévoles (Crib) - Ain profession sport et culture,dada@where.tf,,http://www.ain-profession-sport.net,"","ZA de Domagne - 539 chemin de la Zone-Artisanale,1250,Ceyzériat- Tél : 04 74 22 50 57- Fax : 04 74 22 72 61"
14517,Direction départementale de la cohésion sociale (DDCS) de l'Ain,dada@where.tf,,http://www.ain.gouv.fr,"","9, rue de la Grenouillère - CS 60425,1012,Bourg-en-Bresse Cedex- Tél : 04 74 32 55 00- Fax : 04 74 32 55 09"
14518,Direction départementale de la protection des populations (DDPP) - Ain,dada@where.tf,,,"","9, rue de la Grenouillère - CS 10411,1012,Bourg-en-Bresse Cedex- Tél : 04 74 42 09 00- Fax : 04 74 42 09 60"
14519,Direction départementale des territoires (DDT) - Ain,dada@where.tf,,http://www.ain.gouv.fr,"","23, rue Bourmayer - CS 90410,1012,Bourg-en-Bresse Cedex- Tél : 04 74 45 62 37- Fax : 04 74 45 24 48"
14520,"Direction régionale des entreprises, de la concurrence, de la consommation, du travail et de l'emploi (DIRECCTE) - Unité départementale - Ain",dada@where.tf,,http://auvergne-rhone-alpes.direccte.gouv.fr/Nos-services-vos-interlocuteurs-1329,"","Quartier Bourg Centre - 34 avenue des Belges,1000,Bourg-en-Bresse- Tél : 04 74 45 91 39- Fax : 04 74 45 33 52"
14521,"Direction régionale de l'environnement, de l'aménagement et du logement - Auvergne-Rhône-Alpes",dada@where.tf,,http://www.auvergne-rhone-alpes.developpement-durable.gouv.fr,"","Immeuble DDT - 23 rue Bourgmayer,1000,Bourg-en-Bresse- Tél : 04 74 45 07 70- Fax : 04 74 50 32 50"
14522,Communauté de communes - Bugey Sud,dada@where.tf,,http://www.ccbugeysud.com,"","34 Grande rue - BP 3,1301,Belley Cedex- Tél : 04 79 81 41 05- Fax : 04 79 81 41 02"
14523,Communauté d'agglomération - Bassin de Bourg-en-Bresse,dada@where.tf,,http://www.bourgenbresse-agglomeration.fr,"","3 avenue Arsène-d'Arsonval - CS 88000,1008,Bourg-en-Bresse Cedex- Tél : 04 74 24 75 15- Fax : 04 74 24 75 13"
14524,Communauté de communes - Pays Bellegardien,dada@where.tf,,http://www.ccpb01.fr,"","195 rue Santos-Dumont,1200,Châtillon-en-Michaille- Tél : 04 50 48 19 78- Fax : 04 50 48 09 22"
14525,Communauté de communes - La Dombes,dada@where.tf,,http://www.ccdombes.fr,"","100 avenue Foch,1400,Châtillon-sur-Chalaronne- Tél : 04 28 36 12 12- Fax :"
14526,Communauté de communes - La Plaine de l'Ain,dada@where.tf,,http://www.cc-plainedelain.fr,"","143 rue du Château,1150,Chazey-sur-Ain- Tél : 04 74 61 96 40- Fax : 04 74 61 94 87"
14527,Communauté de communes - Pays de Gex,dada@where.tf,,http://www.ccpg.fr,"","135 rue de Genève,1170,Gex- Tél : 04 50 42 65 00- Fax : 04 50 42 65 01"
14528,Communauté de communes - Rives de l'Ain Pays du Cerdon,dada@where.tf,,http://www.ain-cerdon.fr,"","Place de l'Hôtel-de-Ville,1640,Jujurieux- Tél : 04 74 37 13 32- Fax :"
14529,Communauté de communes - Miribel et du Plateau,dada@where.tf,,http://www.cc-miribel.fr,"","1820 Grande rue,1700,Miribel- Tél : 04 78 55 52 18- Fax : 04 78 55 46 36"
14530,Communauté de communes - Val de Saône Centre,dada@where.tf,,http://www.ccm3r.org,"","Parc Visiosport - 166 route de Francheleins,1090,Montceaux- Tél : 04 74 06 46 26- Fax : 04 74 06 46 20"
14531,Communauté de communes - La Côtière,dada@where.tf,,http://www.3cm.fr,"","85 avenue Pierre-Cormorèche,1120,Montluel- Tél : 04 78 06 39 37- Fax : 04 72 25 08 30"
14532,Agglomération - Haut Bugey,dada@where.tf,,http://www.hautbugey-agglomeration.fr,"","57 rue René-Nicod - CS 80502,1117,Oyonnax Cedex- Tél : 04 74 81 23 70- Fax : 04 74 81 23 80"
14533,Communauté de communes - Bresse et Saone,dada@where.tf,,,"","50 chemin de la Glaine,1380,Bagé-le-Chatel- Tél : 03 85 36 37 18- Fax : 03 85 30 59 55"
14534,Communauté de communes - La Veyle,dada@where.tf,,http://www.cc-laveyle.fr,"","63 Grande rue,1290,Pont-de-Veyle- Tél : 03 85 23 90 15- Fax : 03 85 36 22 12"
14535,Communauté de communes - Dombes Saône Vallée,dada@where.tf,,http://www.ccdsv.fr,"","627 route de Jassans - CS 60231,1602,Trévoux Cedex- Tél : 04 74 08 97 66- Fax :"
14536,Fédération pour la pêche et la protection du milieu aquatique - Ain,dada@where.tf,,http://www.federation-peche-ain.com,"","10 allée de Challes,1000,Bourg-en-Bresse- Tél : 04 74 22 38 38- Fax : 04 74 24 66 59"
14537,Fédération départementale des chasseurs - Ain,dada@where.tf,,http://www.fdcain.com,"","19 bis rue du 4-Septembre - CS 20009,1001,Bourg-en-Bresse Cedex- Tél : 04 74 22 25 02- Fax :"
14538,Brigade de gendarmerie - Ambérieu-en-Bugey,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","14 Rue Jean Mermoz,1500,Ambérieu-en-Bugey- Tél : 04 74 38 00 35- Fax : 04 74 38 90 62"
14539,Brigade de gendarmerie - Belley,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","Caserne Sibuet - 9 Rue Mante,1300,Belley- Tél : 04 79 81 69 00- Fax : 04 79 81 69 07"
14540,Brigade de gendarmerie - Bourg-en-Bresse,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","2 Rue de Chateaubriand,1000,Bourg-en-Bresse- Tél : 04 74 45 97 00- Fax : 04 74 45 97 98"
14541,Brigade de gendarmerie - Ceyzériat,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","340 Avenue du Revermont,1250,Ceyzériat- Tél : 04 74 30 00 10- Fax : 04 74 47 13 23"
14542,Brigade de gendarmerie - Chalamont,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","Rue de Bugey,1320,Chalamont- Tél : 04 74 61 70 08- Fax : 04 74 46 98 44"
14543,Brigade de gendarmerie - Champagne-en-Valromey,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","148 Route du Col de Richemont,1260,Champagne-en-Valromey- Tél : 04 79 87 60 05- Fax : 04 79 87 58 24"
14544,Brigade de gendarmerie - Châtillon-en-Michaille,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","186 Allée Saint-Christophe,1200,Châtillon-en-Michaille- Tél : 04 50 48 22 99- Fax : 04 50 48 64 92"
14545,Brigade de gendarmerie - Châtillon-sur-Chalaronne,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","146 Rue Pierre Marcault,1400,Châtillon-sur-Chalaronne- Tél : 04 74 55 00 17- Fax : 04 74 55 50 73"
14546,Brigade de gendarmerie - Chézery-Forens,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","Chemin de la Diamanterie,1200,Chézery-Forens- Tél : 04 50 56 91 28- Fax : 04 50 56 93 35"
14547,Brigade de gendarmerie - Coligny,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","Chemin de Cornaloup,1270,Coligny- Tél : 04 74 30 11 29- Fax :"
14548,Brigade de gendarmerie - Collonges,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","162 Rue de l'Eglise,1550,Collonges- Tél : 04 50 59 63 03- Fax :"
14549,Brigade de gendarmerie - Culoz,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","Rue Claudius Richard,1350,Culoz- Tél : 04 79 87 00 11- Fax : 04 79 87 11 79"
14550,Brigade de gendarmerie - Divonne-les-Bains,dada@where.tf,,http://www.gendarmerie.interieur.gouv.fr,"","44 Avenue des Voirons,1220,Divonne-les-Bains- Tél : 04 50 20 00 20- Fax : 04 50 20 37 77"
